fileformat,1,,,절대순서 바뀌면 안된다.,,,,,,,,,,,
resource_type,costume,,,no는 단순 순번이 아니라 코스튬 메인 ID이다.,,,,,,,,,,,
resource_ver,1,,,id는 서브 아이디 이다.,,,,,,,,,,,
resource_id,costume_00,,,,,,,,,,,,,,
순번,아이디,그룹태그,태그,정보,결과이미지,썩는것방지(%),하트속도(%),팁증가(%),어는것방지(%),쿨링타임감속(%),능력,잠김,구입가격(골드),구입가격(델리),한글이름
no,id,group_tag,tag,info,resultimage,function_decay,function_heart,function_tip,function_ice,function_cooling,function_shop,lock_condition,purchase_price_gold,purchase_price_delly,name_kor
0,1,set,set_01,"hat_05,scarf_01,cloth_01,apron_01,",costume_set_01.png,0,0,30,0,0,boonsik,"NULL,",20000,0,부자되세요 세트
1,2,set,set_02,"hat_06,scarf_03,cloth_03,apron_02,",costume_set_02.png,0,5,0,0,0,NULL,"NULL,",6000,0,동정팔이 세트
2,3,set,set_03,"hat_07,scarf_04,cloth_04,apron_03,",costume_set_03.png,20,0,0,0,0,NULL,"NULL,",40000,0,요리왕 세트
3,4,set,set_04,"hat_08,scarf_05,cloth_05,",costume_set_04.png,0,15,0,0,0,NULL,"NULL,",30000,0,삐리삐롱 나잇 세트
4,5,set,set_05,"hat_09,scarf_06,cloth_06,apron_04,",costume_set_05.png,0,0,30,0,0,hamburger,"hamburger,",0,30,개시켜 알바 세트
5,6,set,set_06,"hat_10,cloth_07,apron_05,",costume_set_06.png,0,0,30,0,0,coffee,"coffee,",0,40,개드리퍼 세트
6,7,set,set_07,"hat_12,scarf_08,apron_10,cloth_09,",costume_set_07.png,30,0,0,30,0,NULL,"NULL,",0,60,개리포터 세트
7,8,set,set_08,"hat_13,apron_06,cloth_10,scarf_09,",costume_set_08.png,0,0,0,40,0,NULL,"NULL,",0,40,쌈바쌈바 핫!챠! 세트
8,9,set,set_09,"hat_14,apron_07,cloth_11,",costume_set_09.png,0,30,0,0,0,NULL,"NULL,",0,60,영의정개 삼년 세트
9,10,set,set_10,"hat_11,cloth_08,scarf_07,",costume_set_10.png,0,10,30,0,0,NULL,"gold,100000,",60000,0,미국졸부 세트
10,11,set,set_11,"hat_15,apron_08,cloth_12,scarf_10,",costume_set_11.png,0,0,30,0,15,NULL,"crazy,",0,50,핫서머 셋트
11,12,set,set_12,"hat_16,apron_09,cloth_13,scarf_11,",costume_set_12.png,0,30,60,0,30,NULL,"roulette,hat_16,",0,80,히어로 세트
62,13,set,set_13,"hat_17,apron_11,cloth_14,scarf_12,",costume_set_13.png,0,20,0,30,0,NULL,"limit_santa,",70000,0,산타할아버지 세트
67,14,set,set_14,"hat_18,apron_12,cloth_15,scarf_13,",costume_set_14.png,10,0,30,0,0,china,"china,",0,35,강시 세트
