fileformat     , 1            ,     ,      ,             ,                  ,                    ,                      ,               ,                 ,              ,              ,              ,                   ,              , "분식점(오리,토끼->푸들->고양이)",          ,              ,              ,             ,                     ,                                   ,                    ,                   ,                   ,             ,                          ,                              ,                          ,                                                          ,               ,                   ,                             ,                  ,            ,                                       ,     , 
resource_type  , level        ,     ,      ,             ,                  ,                    ,                      ,               ,                 ,              ,              ,              ,                   ,              ,                                  ,          ,              ,              ,             ,                     ,                                   ,                    ,                   ,                   ,             ,                          ,                              ,                          ,                                                          ,               ,                   ,                             ,                  ,            ,                                       ,     , 
resource_ver   , 1            ,     ,      ,             ,                  ,                    , 1200                 ,               ,                 ,              ,              ,              ,                   ,              ,                                  ,          , 180          ,              ,             ,                     ,                                   ,                    ,                   ,                   ,             ,                          ,                              ,                          ,                                                          ,               ,                   ,                             ,                  ,            ,                                       ,     , 
resource_id    , level_boonsik,     ,      ,             , 40               , 40                 , 20                   ,               ,                 , 0            , 5            , 10           , 13                ,              ,                                  ,          ,              ,              ,             ,                     ,                                   ,                    ,                   ,                   ,             ,                          ,                              ,                          ,                                                          ,               ,                   ,                             ,                  ,            ,                                       ,     , 
출현레시피     , 레시피블럭수 , 순번, 레벨 , 블럭가중치  , 얼음나올확률(100), 나오는 블럭수      , 썩는것이 없는시간(초), 번식시간(초)  , 블락조합최대갯수, 레시피갯수1  , 레시피갯수2  , 레시피갯수3  , 이중주문 확률(100), 동물출현간격 , 출연동물                         , 목표골드 , 장사시간(sec), 퀘스트 보너스, perfect gold, 레시피출현빈도      , 출연레시피                        , 출현동물           , 배달빈도          , 캐셔고용할 수있나?, 쓰레기블럭  , 퀘스트                   , 퀘스트 메시지                , 퀘스트 패널              , 퀘스트설명                                               , 퀘스트설명2   , 퀘스트설명아이콤  , 퀘스트 아이템               , 고장테이블갯수   , 하트감소분 , 스테이지 메시지                       , 맵  , 노끈블락갯수
new_recipe     , block_count  , no  , level, block_weight, ice_probability  , block_available_cnt, decay_idle_duration  , decay_duration, max_block_count , association_1, association_2, association_3, double_probability, customer_term, animal                           , goal_gold, time_limit   , quest_bonus  , perfect_gold, recipe_frequency    , order_recipe                      , order_animal       , delivery_frequence, staff             , dummy_blocks, quest                    , quest_msg                    , quest_pannel             , quest_explain                                            , quest_explain2, quest_explain_icon, quest_item                  , trouble_table_cnt, heart_minus, stage_msg                             , map , fix_block_cnt
NULL           , 5            , 0   , 1    , 3           , 0                , 5                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 10           , "duck,"                          , 200      , 30           , 0            , 350         , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "NULL,ALL,0,"            , 튜토리얼 따라해보기          , NULL                     , NULL                                                     , NULL          , NULL              , "NULL,"                     , 0                , 0          , 어서와 도기셰프는 처음이지?           , NULL, 0
NULL           , 5            , 1   , 2    , 3           , 0                , 5                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 10           , "duck,"                          , 200      , 30           , 100          , 350         , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "COMBO,5,1,"             , 퍼즐 5콤보 달성하기          , 5콤보 1회달성(%d/1)      , 연속으로 퍼즐을 맞추면 콤보가 돼요.                      , NULL          , NULL              , "NULL,"                     , 0                , 0          , 튜토리얼을 무사히 완료하세요!         , NULL, 0
NULL           , 5            , 2   , 3    , 3           , 0                , 5                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 10           , "duck,"                          , 500      , 60           , 100          , 800         , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "BLOCK,CROSS,1,"         , 크로스블록 1회 사용하기      , 크로스블록 1회사용(%d/1) , 4개의 재료를 한번에 매치하면 크로스 블록이 생겨요.       , NULL          , quest01.png       , "NULL,"                     , 0                , 0          , 퍼즐의 묘미! Lv.1                     , NULL, 0
NULL           , 5            , 3   , 4    , 3           , 0                , 5                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 9            , "duck,"                          , 600      , 60           , 400          , 900         , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "ITEM,BASIC,3,"          , 슬롯아이템 한번씩 사용해 보기, 슬롯아이템사용(%d/3)     , 테이블 아래에 있는 슬롯 아이템을 사용해 보세요.          , NULL          , quest02.png       , "hint,refresh,timeincrease,", 0                , 0          , 새로운 경험                           , NULL, 0
cheesekimbob   , 6            , 4   , 5    , 3           , 0                , 6                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 9            , "duck,"                          , 700      , 60           , 400          , 1000        , "3,cheesekimbob,"   , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "FOOD,cheesekimbob,2,"   , 치즈김밥 2개 팔기            , 치즈김밥 2개 팔기(%d/2)  , 손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요. , NULL          , NULL              , "NULL,"                     , 0                , 0          , 신메뉴를 많이 팔아야해. 왜? 비싸니까! , NULL, 0
NULL           , 6            , 5   , 6    , 2.8         , 0                , 6                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 9            , "duck,poodle,"                   , 800      , 60           , 400          , 1300        , "NULL,"             , "ALL,100,"                        , "ALL,60,poodle,40,", -1                , 1                 , "NULL,"     , "GUEST,poodle,0,"        , 새로 온 손님 단골 만들기     , 푸들손님 놓치지 않기     , NULL                                                     , NULL          , NULL              , "NULL,"                     , 0                , 0          , 푸들이 단골이 되면 특별한 일이 생겨요 , NULL, 0
NULL           , 6            , 6   , 7    , 2.8         , 0                , 6                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 9            , "duck,poodle,"                   , 900      , 90           , 300          , 1600        , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "FOOD,SIDE,2,"           , 오뎅 국물 2개 이상 끼워팔기  , 오뎅국물 2개 판매(%d/2)  , 서브메뉴의 불이 세개 다 켜지면 손님에게 서빙할 수 있어요., NULL          , NULL              , "NULL,"                     , 0                , 0          , 사장님 공식 매상 증진의 날 (1)        , NULL, 0
NULL           , 6            , 7   , 8    , 2.8         , 0                , 6                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 8            , "duck,poodle,"                   , 900      , 90           , 400          , 1600        , "NULL,"             , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "COMBO,5,1,"             , 5콤보 1회 달성               , 5콤보1회달성(%d/1)       , 연속으로 퍼즐을 맞추면 콤보가 돼요.                      , NULL          , NULL              , "NULL,"                     , 0                , 0          , 이제 일좀 할만하지? 더 햇!            , NULL, 0
cheeseramen    , 6            , 8   , 9    , 2.8         , 0                , 7                  , 1200                 , 20            , 4               , 100          , 0            , 0            , 0                 , 8            , "duck,poodle,"                   , 1000     , 90           , 500          , 1800        , "3,cheeseramen,"    , "ALL,100,"                        , "ALL,100,"         , -1                , 1                 , "NULL,"     , "FOOD,cheeseramen,2,"    , 치즈라면 2개 팔기            , 치즈라면 2개 팔기(%d/2)  , 손님 회전이 빠르면 퀘스트 음식을 시킬 확률이 높아져요.   , NULL          , NULL              , "NULL,"                     , 0                , 0          , 신메뉴를 많이 팔아야해. 왜? 비싸니까! , NULL, 0
