fileformat,1,,,,,,,,,,,,,,"햄버거(토끼,고양이->앵무새->다람쥐)",,,,,,,,,,,,,,,,,,,,,,
resource_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_ver,1,,,,,,1200,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,
resource_id,level_boonsik,,,,40,40,20,,,0,5,10,13,,,,,,,,,,,,,,,,,,,,,,,,
출현레시피,레시피블럭수,순번,레벨,블럭가중치,얼음나올확률(100),나오는 블럭수,썩는것이 없는시간(초),번식시간(초),블락조합최대갯수,레시피갯수1,레시피갯수2,레시피갯수3,이중주문 확률(100),동물출현간격,출연동물,목표골드,장사시간(sec),퀘스트 보너스,perfect gold,레시피출현빈도,출연레시피,출현동물,배달빈도,캐셔고용할 수있나?,쓰레기블럭,퀘스트,퀘스트 메시지,퀘스트 패널,퀘스트설명,퀘스트설명2,퀘스트설명아이콤,퀘스트 아이템,고장테이블갯수,하트감소분,스테이지 메시지,맵,노끈블락갯수
new_recipe,block_count,no,level,block_weight,ice_probability,block_available_cnt,decay_idle_duration,decay_duration,max_block_count,association_1,association_2,association_3,double_probability,customer_term,animal,goal_gold,time_limit,quest_bonus,perfect_gold,recipe_frequency,order_recipe,order_animal,delivery_frequence,staff,dummy_blocks,quest,quest_msg,quest_pannel,quest_explain,quest_explain2,quest_explain_icon,quest_item,trouble_table_cnt,heart_minus,stage_msg,map,fix_block_cnt
NULL,6,0,1,1.2,1,6,30,20,9,100,0,0,0,5,"squirrel,horse,hippo,",2300,80,700,4800,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","COMBO,15,1,",15콤보1회,15콤보1회달성(%d/1),콤보를 잇기 힘들면 새로고침의 원인이 되는 얼음블럭을 방지하는 옷을 입어보세요.,NULL,NULL,"NULL,",0,0,여기까지 왔으면 이정도는 괜찮죠?,NULL,0
NULL,6,1,2,1.2,1,6,15,8,9,100,0,0,0,5,"squirrel,horse,hippo,",2600,80,900,5300,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,DECAY,12,",썩은 재료 12개 없애기,썩는재료 12개 없애기(%d/12),녹색 연기가 나는 블럭을 맞추어 없애야 해요.,NULL,quest07.png,"NULL,",0,0,스케일이 다른 썩는속도 ㅎㄷㄷ,NULL,0
NULL,6,2,3,1,1,6,30,20,9,100,0,0,0,5,"squirrel,horse,hippo,",3000,80,800,5800,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","COMBO,20,1,",20콤보 1회성공,20콤보1회달성(%d/1),콤보를 잇기 힘들면 새로고침의 원인이 되는 얼음블럭을 방지하는 옷을 입어보세요.,NULL,NULL,"NULL,",0,0,할수있을까? 두근두근...,NULL,0
tang_meat,7,3,4,1,2,6,30,20,9,80,20,0,0,5,"squirrel,horse,hippo,",3200,80,700,6300,"3,tang_meat,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,tang_meat,2,",탕수육 등장,탕수육 2개(%d/2),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,탕슉 개시 했다해~ 마니 팔으라해~,NULL,0
NULL,7,4,5,1,2,6,25,20,9,80,20,0,0,5,"squirrel,horse,hippo,",3600,100,500,7000,"NULL,","ALL,100,","ALL,100,",4,1,"NULL,","GUEST,delivery,2,",배달 2번 완료,배달 2회 완료(%d/2),전화를 받고 요리를 완료해 배달부를 부르면 배달완료!,NULL,quest12.png,"NULL,",0,0,우리는 배달의 민족! ,NULL,0
zzazang_rice,8,5,6,1,2,6,25,20,9,80,20,0,0,5,"squirrel,horse,hippo,",4000,100,750,8000,"3,zzazang_rice,","ALL,100,","ALL,100,",4,1,"NULL,","FOOD,zzazang_rice,3,",짜장밥 등장,짜장밥 3개(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,짜장밥 개시했다해~ 마니 팔으라해~,NULL,0
NULL,8,6,7,1.4,2,8,25,20,9,80,20,0,0,4,"squirrel,horse,hippo,",4300,120,700,8500,"NULL,","ALL,100,","ALL,100,",4,1,"NULL,","FOOD,SIDE,8,",중화만두 8개 팔기,중화만두8개 끼워팔기(%d/8),사이드 메뉴를 업그레이드하면 준비시간이 줄어들어 더 많이 판매할 수 있어요.,NULL,NULL,"NULL,",0,0,연애도 서빙도 가장 중요한건 타이밍이야,NULL,0
NULL,8,7,8,1.4,6,8,25,20,9,80,20,0,0,4,"squirrel,horse,hippo,",4600,120,700,9000,"NULL,","ALL,100,","ALL,100,",4,1,"NULL,","REMOVE,ICE,10,",얼어있는 재료 10개 깨기,얼음블럭10개깨기(%d/10),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest06.png,"NULL,",0,0,불경기예요 얼음 깨서라도 팔아야죠.,NULL,0
NULL,8,8,9,1.4,3,8,25,20,9,70,30,0,0,4,"squirrel,horse,hippo,",5000,150,1100,9500,"NULL,","ALL,100,","ALL,100,",4,0,"NULL,","ETC,GOLD,0,",푸들캐셔 휴가!,빠짐없이 돈 받기,NULL,NULL,NULL,"NULL,",0,0,이제는 익숙한 그녀의 빈자리,NULL,0
