74,1,,,,,,,,,,,,,,"커피솝(토끼,고양이,앵무새,다람쥐->말>하마)",,,,,,,,,,,,,,,,,,,,,,
resource_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_ver,1,,,,,,1200,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,
resource_id,level_boonsik,,,,40,40,20,,,0,5,10,13,,,,,,,,,,,,,,,,,,,,,,,,
출현레시피,레시피블럭수,순번,레벨,블럭가중치,얼음나올확률(100),나오는 블럭수,썩는것이 없는시간(초),번식시간(초),블락조합최대갯수,레시피갯수1,레시피갯수2,레시피갯수3,이중주문 확률(100),동물출현간격,출연동물,목표골드,장사시간(sec),퀘스트 보너스,perfect gold,레시피출현빈도,출연레시피,출현동물,배달빈도,캐셔고용할 수있나?,쓰레기블럭,퀘스트,퀘스트 메시지,퀘스트 패널,퀘스트설명,퀘스트설명2,퀘스트설명아이콤,퀘스트 아이템,고장테이블갯수,하트감소분,스테이지 메시지,맵,노끈블락갯수
new_recipe,block_count,no,level,block_weight,ice_probability,block_available_cnt,decay_idle_duration,decay_duration,max_block_count,association_1,association_2,association_3,double_probability,customer_term,animal,goal_gold,time_limit,quest_bonus,perfect_gold,recipe_frequency,order_recipe,order_animal,delivery_frequence,staff,dummy_blocks,quest,quest_msg,quest_pannel,quest_explain,quest_explain2,quest_explain_icon,quest_item,trouble_table_cnt,heart_minus,stage_msg,map,fix_block_cnt
NULL,6,0,1,2,0,6,1200,20,9,100,0,0,0,6,"rabbit,cat,parrot,squirrel,",3000,60,600,5500,"NULL,","ALL,0,hot_ame,34,hot_esso,33,hot_latte,33,","ALL,100,",-1,1,"NULL,","FOOD,hot_esso,2,",에스프레소 2잔 만들어 팔기,에스프레소 2잔(%d/2),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,커피숍 오픈! 커피의 장인 되세요!,NULL,0
NULL,6,1,2,2,0,6,1200,20,9,100,0,0,0,6,"rabbit,cat,parrot,squirrel,",3500,60,800,7000,"NULL,","ALL,0,hot_ame,34,hot_esso,33,hot_latte,33,","ALL,100,",-1,1,"NULL,","ITEM,NOTUSE,0,",슬롯 아이템 안쓰기!,슬롯아이템 안쓰기,슬롯 아이템을 사용하지않고 스테이지를 클리어해야 해요.,NULL,quest02.png,"NULL,",0,0,하드 트레이닝 2,NULL,0
NULL,6,2,3,1.5,0,6,1200,20,9,100,0,0,0,6,"rabbit,cat,parrot,squirrel,",3500,60,1100,7500,"NULL,","ALL,0,hot_ame,34,hot_esso,33,hot_latte,33,","ALL,100,",-1,1,"NULL,","COMBO,10,3,",10콤보 3회성공,10콤보3회달성(%d/3),연속으로 퍼즐을 맞추면 콤보가 돼요.,NULL,NULL,"NULL,",0,0,새 가게라고 느긋이 일하는건 아니겠죠?,NULL,0
NULL,6,3,4,1.5,1,6,1200,20,9,90,10,0,0,6,"rabbit,cat,parrot,squirrel,",4000,60,1000,8500,"NULL,","ALL,0,hot_ame,20,hot_esso,20,hot_latte,20,ice_ame,20,ice_latte,20,","ALL,100,",-1,1,"NULL,","GUEST,ALL,0,",모든 손님 놓치지 말기,모든 손님 놓치지 않기,NULL,NULL,NULL,"NULL,",0,0,커피숍의 생명은 친철한 서비스♥,NULL,0
NULL,6,4,5,1.5,1,6,25,25,9,90,10,0,0,5,"rabbit,cat,parrot,squirrel,",4000,60,600,9000,"NULL,","ALL,0,hot_ame,20,hot_esso,20,hot_latte,20,ice_ame,20,ice_latte,20,","ALL,100,",-1,1,"NULL,","BLOCK,FIRE,2,",불 블럭 사용하기,불 블럭 2회 사용(%d/2),10콤보를 달성하면 불 블럭이 생겨요.,NULL,quest08.png,"NULL,",0,0,이젠 이정도 쯤은 하겠죠? 1,NULL,0
NULL,6,5,6,1,2,6,25,20,9,90,10,0,0,5,"rabbit,cat,parrot,squirrel,",4500,90,1000,9500,"NULL,","ALL,0,hot_ame,15,hot_esso,17,hot_latte,17,ice_ame,17,ice_latte,17,muff,17,","ALL,100,",-1,1,"NULL,","FOOD,SIDE,6,",아이스크림 6개이상 끼워팔기,아이스크림6개 팔기(%d/6),푸들 매니져를 승진시키면 달성이 쉬워져요.,NULL,NULL,"NULL,",0,0,틈새시장을 노리는거야! ,NULL,0
NULL,6,6,7,1,3,6,25,20,9,90,10,0,0,5,"rabbit,cat,parrot,squirrel,",4500,90,1100,10000,"NULL,","ALL,0,hot_ame,15,hot_esso,17,hot_latte,17,ice_ame,17,ice_latte,17,muff,17,","ALL,100,",-1,1,"NULL,","REMOVE,ICE,8,",얼음 블럭 8개 깨기,얼음블럭8개깨기(%d/8),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest06.png,"NULL,",0,0,두둥! 또 왔다 이상기온 한파! ,NULL,0
NULL,6,7,8,1,2,6,25,20,9,90,10,0,0,5,"rabbit,cat,parrot,squirrel,",5000,90,1800,11000,"NULL,","ALL,100,","ALL,100,",-1,0,"NULL,","ETC,GOLD,0,",까먹지 말고 돈 받기!,빠짐없이 돈 받기,NULL,NULL,NULL,"NULL,",0,0,"정직원된 푸들캐셔, 연차쓰고 동남아행!",NULL,0
NULL,6,8,9,1,2,6,25,20,9,90,10,0,0,5,"rabbit,cat,parrot,squirrel,",5000,90,2600,12000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","ITEM,NOTUSE,0,",슬롯 아이템 안쓰기!,슬롯아이템 안쓰기,슬롯 아이템을 사용하지않고 스테이지를 클리어해야 해요.,NULL,quest02.png,"NULL,",0,0,하드 트레이닝 3,NULL,0
hot_latte_char,6,9,10,1,2,6,20,20,9,70,30,0,0,4,"rabbit,cat,parrot,squirrel,",7000,90,1600,15000,"5,hot_latte_char,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,hot_latte_char,2,",카라멜마끼아또 2잔 만들어 팔기,카라멜마끼아또 2잔(%d/2),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,어려운 메뉴에도 도전해 보세요,NULL,0
NULL,6,10,11,0.7,2,6,20,20,9,70,30,0,0,4,"rabbit,cat,parrot,squirrel,horse,",7500,90,1300,16000,"NULL,","ALL,100,","ALL,55,horse,45,",-1,1,"NULL,","GUEST,horse,0,",말 손님 단골 만들기,말 손님 놓치지 않기,NULL,NULL,NULL,"NULL,",0,0,올수록 또 오고 싶은 곳!,NULL,0
