fileformat,1,,,,,,,,,,,,,,"햄버거(토끼,고양이->앵무새->다람쥐)",,,,,,,,,,,,,,,,,,,,,,
resource_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_ver,1,,,,,,1200,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,
resource_id,level_boonsik,,,,40,40,20,,,0,5,10,13,,,,,,,,,,,,,,,,,,,,,,,,
출현레시피,레시피블럭수,순번,레벨,블럭가중치,얼음나올확률(100),나오는 블럭수,썩는것이 없는시간(초),번식시간(초),블락조합최대갯수,레시피갯수1,레시피갯수2,레시피갯수3,이중주문 확률(100),동물출현간격,출연동물,목표골드,장사시간(sec),퀘스트 보너스,perfect gold,레시피출현빈도,출연레시피,출현동물,배달빈도,캐셔고용할 수있나?,쓰레기블럭,퀘스트,퀘스트 메시지,퀘스트 패널,퀘스트설명,퀘스트설명2,퀘스트설명아이콤,퀘스트 아이템,고장테이블갯수,하트감소분,스테이지 메시지,맵,노끈블락갯수
new_recipe,block_count,no,level,block_weight,ice_probability,block_available_cnt,decay_idle_duration,decay_duration,max_block_count,association_1,association_2,association_3,double_probability,customer_term,animal,goal_gold,time_limit,quest_bonus,perfect_gold,recipe_frequency,order_recipe,order_animal,delivery_frequence,staff,dummy_blocks,quest,quest_msg,quest_pannel,quest_explain,quest_explain2,quest_explain_icon,quest_item,trouble_table_cnt,heart_minus,stage_msg,map,fix_block_cnt
NULL,6,0,1,2.3,1,6,1200,20,9,100,0,0,0,6,"rabbit,poodle,cat,",2600,60,600,5000,"NULL,","ALL,0,french_fried,50,patty_hamburger,50,","ALL,100,",-1,1,"NULL,","FOOD,patty_hamburger,2,",패티햄버거 2개 팔기,패티햄버거 2개팔기(%d/2),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,버거의 달인 그 첫걸음!,NULL,0
NULL,6,1,2,2.3,1,6,1200,20,9,100,0,0,0,6,"rabbit,poodle,cat,",3000,60,600,5500,"NULL,","ALL,0,french_fried,30,patty_hamburger,30,cheese_hamburger,40,","ALL,100,",-1,1,"NULL,","COMBO,5,3,",5콤보 3회성공,5콤보3회달성(%d/3),연속으로 퍼즐을 맞추면 콤보가 돼요.,NULL,NULL,"NULL,",0,0,패스트푸드는 빨리! 더빨리!,NULL,0
NULL,6,2,3,2.3,1,6,1200,20,9,100,0,0,0,6,"rabbit,poodle,cat,",3300,60,700,6000,"NULL,","ALL,0,french_fried,30,patty_hamburger,30,cheese_hamburger,40,","ALL,100,",-1,1,"NULL,","BLOCK,FIRE,1,",불 블럭 사용하기,불 블럭 1회 사용(%d/1),10콤보를 달성하면 불 블럭이 생겨요.,NULL,NULL,"NULL,",0,0,퍼즐의 묘미~3,NULL,0
NULL,6,3,4,2.3,2,6,1200,20,9,100,0,0,0,6,"rabbit,poodle,cat,",3900,60,600,7000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,SIDE,4,",탄산음료 4잔이상 끼워팔기,탄산음료 4잔 팔기(%d/4),서브메뉴의 불이 세개 다 켜지면 손님에게 서빙할 수 있어요.,NULL,NULL,"NULL,",0,0,햄버거+탄산음료=0칼로리,NULL,0
NULL,6,4,5,2.3,2,6,15,10,9,100,0,0,0,6,"rabbit,poodle,cat,",4000,60,1300,7000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,DECAY,6,",썩는 재료 6개 없애기,썩는재료6개없애기(%d/6),녹색 연기가 나는 블럭을 맞추어 없애야 해요.,NULL,quest07.png,"NULL,",0,0,재료 유통기한 임박!!,NULL,0
NULL,6,5,6,2,3,6,25,20,9,100,0,0,0,6,"rabbit,poodle,cat,",4200,60,1100,7500,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,ICE,6,",얼음 블럭 6개 깨기,얼음블럭6개깨기(%d/6),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest06.png,"NULL,",0,0,무지무지 추운날! 손님들도 추워요.,NULL,0
salad,7,6,7,2,2,7,25,20,9,100,0,0,0,5,"rabbit,poodle,cat,",4400,90,1000,8000,"4,salad,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,salad,3,",샐러드 3개 팔기,샐러드 3개 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,새 메뉴 출시 프로모션1,NULL,0
NULL,7,7,8,2,2,7,25,20,9,100,0,0,0,5,"rabbit,poodle,cat,",4800,90,1700,8500,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","GUEST,ALL,0,",모든 손님 놓치지 않기,모든 손님 놓치지 않기,NULL,NULL,NULL,"NULL,",0,0,스마일은 0원 입니다~,NULL,0
NULL,7,8,9,2,2,7,25,20,9,80,20,0,0,5,"rabbit,poodle,cat,",5000,90,2000,9500,"NULL,","ALL,100,","ALL,100,",-1,0,"NULL,","ETC,GOLD,0,",까먹지 말고 돈 받기!,빠짐없이 돈 받기,NULL,NULL,NULL,"NULL,",0,0,푸들캐셔의 임시 휴가,NULL,0
NULL,7,9,10,1.3,2,7,25,20,9,80,20,0,0,5,"rabbit,poodle,cat,",5300,90,1800,10000,"NULL,","ALL,0,vegetable_hamburger,50,salad,50,","ALL,100,",-1,1,"NULL,","GUEST,ALL,0,",모든 손님을 만족시키기,손님 모두 만족,NULL,NULL,NULL,"NULL,",0,0,채식주의자의 반란! (채식 메뉴만),NULL,0
deluxe_hamburger,8,10,11,1.5,1,8,25,20,9,80,20,0,0,5,"rabbit,poodle,cat,",5800,90,1000,10500,"3,deluxe_hamburger,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,deluxe_hamburger,3,",디럭스버거 3개 팔기,디럭스버거 3개 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,새 메뉴 출시 프로모션!,NULL,0
NULL,8,11,12,1.5,1,8,25,20,9,70,30,0,0,5,"rabbit,poodle,cat,",6300,120,1300,12000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","COMBO,10,2,",10콤보 2회성공,10콤보2회달성(%d/2),연속으로 퍼즐을 맞추면 콤보가 돼요.,NULL,NULL,"NULL,",0,0,패스트푸드는 빨리! 더빨리!,NULL,0
NULL,8,12,13,1.5,1,8,25,20,9,70,30,0,0,4,"rabbit,poodle,cat,parrot,",6800,120,1000,13000,"NULL,","ALL,100,","ALL,60,parrot,40,",-1,1,"NULL,","GUEST,parrot,0,",앵무새 손님 단골 만들기,앵무새 손님 놓치지 않기,NULL,NULL,NULL,"NULL,",0,0,오실땐 단골손님 안오실땐 남이라지요.,NULL,0
NULL,8,13,14,1.5,2,8,10,12,9,70,30,0,0,4,"rabbit,poodle,cat,parrot,",7000,120,1500,14500,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,DECAY,8,",썩는 재료 8개 없애기,썩는재료 8개 없애기(%d/8),녹색 연기가 나는 블럭을 맞추어 없애야 해요.,NULL,quest07.png,"NULL,",0,0,재료 유통기한 임박!!,NULL,0
dobble_cheese_hamrbuger,8,14,15,1.5,1,8,15,15,9,70,30,0,0,4,"rabbit,poodle,cat,parrot,",7200,120,1000,15000,"4,dobble_cheese_hamrbuger,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,dobble_cheese_hamrbuger,3,",더블치즈버거 3개 팔기,더블치즈버거 3개 팔기(%d/3),NULL,NULL,NULL,"NULL,",0,0,새 메뉴 출시 프로모션3,NULL,0
NULL,8,15,16,1.2,2,8,15,15,9,70,30,0,0,4,"rabbit,poodle,cat,parrot,",7400,120,700,15000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,SIDE,6,",탄산음료 6잔이상 끼워팔기,탄산음료 6잔 팔기(%d/6),서브메뉴의 불이 세개 다 켜지면 손님에게 서빙할 수 있어요.,NULL,NULL,"NULL,",0,0,햄버거+탄산음료=0칼로리,NULL,0
NULL,8,16,17,1.2,2,8,15,15,9,60,30,10,0,4,"rabbit,poodle,cat,parrot,",7600,120,1300,15500,"NULL,","ALL,93,french_fried,7,","ALL,100,",-1,1,"NULL,","REMOVE,ICE,7,",얼음 블럭 7개 깨기,얼음블럭7개깨기(%d/7),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest06.png,"NULL,",0,0,무지무지 추운날! 손님들도 추워요.,NULL,0
