fileformat,1,,,,,,,,,,,,,,"분식점(오리,토끼->푸들->고양이)",,,,,,,,,,,,,,,,,,,,,,
resource_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_ver,1,,,,,,1200,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,
resource_id,level_boonsik,,,,40,40,20,,,0,5,10,13,,,,,,,,,,,,,,,,,,,,,,,,
출현레시피,레시피블럭수,순번,레벨,블럭가중치,얼음나올확률(100),나오는 블럭수,썩는것이 없는시간(초),번식시간(초),블락조합최대갯수,레시피갯수1,레시피갯수2,레시피갯수3,이중주문 확률(100),동물출현간격,출연동물,목표골드,장사시간(sec),퀘스트 보너스,perfect gold,레시피출현빈도,출연레시피,출현동물,배달빈도,캐셔고용할 수있나?,쓰레기블럭,퀘스트,퀘스트 메시지,퀘스트 패널,퀘스트설명,퀘스트설명2,퀘스트설명아이콤,퀘스트 아이템,고장테이블갯수,하트감소분,스테이지 메시지,맵,노끈블락갯수
new_recipe,block_count,no,level,block_weight,ice_probability,block_available_cnt,decay_idle_duration,decay_duration,max_block_count,association_1,association_2,association_3,double_probability,customer_term,animal,goal_gold,time_limit,quest_bonus,perfect_gold,recipe_frequency,order_recipe,order_animal,delivery_frequence,staff,dummy_blocks,quest,quest_msg,quest_pannel,quest_explain,quest_explain2,quest_explain_icon,quest_item,trouble_table_cnt,heart_minus,stage_msg,map,fix_block_cnt
NULL,7,0,1,0.6,3,9,15,25,9,90,10,0,0,8,"parrot,deer,mole,",2800,90,800,5000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,boolgogi,10,",음식 10그릇 팔기.,음식 10그릇 팔기(%d/10),손님 회전이 빠르면 많은 음식을 팔 수 있어요.,NULL,NULL,"NULL,",0,0,한식집 첫날! 개시가 중요하죠~,map_korean_stage6.txt,0
NULL,7,1,2,0.6,1,9,15,25,9,90,10,0,0,8,"parrot,deer,mole,",3300,90,1400,6000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,FIX,5,",묶인재료 5개풀기,묶인재료 5개풀기(%d/5),노끈으로 묶여 고정된 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,NULL,"NULL,",0,0,노끈블럭 풀고 시작하실께요~,map_korean_stage6.txt,8
NULL,7,2,3,0.5,3,9,15,25,9,90,10,0,0,8,"parrot,deer,mole,",3900,90,1100,7000,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","COMBO,20,1,",퍼즐 20콤보 달성하기,20콤보 1회달성(%d/1),연속으로 퍼즐을 맞추면 콤보가 돼요.,NULL,NULL,"NULL,",0,0,이젠 이정돈 껌이죠!,NULL,0
NULL,7,3,4,0.5,3,9,10,20,9,90,10,0,0,4,"parrot,deer,mole,",4000,90,1200,7500,"NULL,","ALL,100,","ALL,100,",-1,0,"NULL,","FOOD,SIDE,8,",된장찌개 8그릇 끼워팔기,찌개 8그릇 끼워팔기(%d/8),사이드 메뉴를 업그레이드하면 준비시간이 줄어들어 더 많이 판매할 수 있어요.,NULL,NULL,"NULL,",0,0,매상올리기의 기본! 끼워팔기!,map_korean_stage6.txt,0
kalbee,7,4,5,0.5,3,9,10,20,9,80,20,0,0,6,"parrot,deer,mole,",4200,120,900,8000,"4,kalbee,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,kalbee,3,",갈비 3접시 팔기.,갈비 3접시 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,새 메뉴 개시!,map_korean_stage6.txt,0
NULL,8,5,6,0.5,6,9,15,20,9,80,20,0,0,5,"parrot,deer,mole,",4400,120,1300,8500,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","REMOVE,ICE,15,",얼어있는재료 15개 깨기,언 재료 15개 깨기(%d/15),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,NULL,"NULL,",0,2,추운날씨에 재료가 얼어버렸어요~,NULL,0
NULL,8,6,7,0.5,3,9,10,15,9,80,20,0,0,5,"parrot,deer,mole,",4800,120,1600,9500,"NULL,","ALL,100,","ALL,100,",-1,1,"NULL,","GUEST,ALL,0,",손님모두만족,손님모두만족,NULL,NULL,NULL,"NULL,",1,0,테이블이 부서졌지만 당황하지않고~,NULL,0
NULL,8,7,8,0.5,1,9,10,15,9,80,20,0,0,5,"parrot,deer,mole,",5200,120,1500,10000,"NULL,","ALL,100,","ALL,100,",-1,0,"NULL,","ETC,GOLD,0,",까먹지말고 돈받기,빠짐없이 돈 받기,NULL,NULL,NULL,"NULL,",0,0,캐셔가 없어도 잘할수 있죠?,map_korean_stage7.txt,0
kalbee_tang,9,8,9,0.5,1,9,10,15,9,70,30,0,0,4,"parrot,deer,mole,",6300,150,900,10500,"4,kalbee_tang,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,kalbee_tang,3,",갈비탕 3그릇 팔기,갈비탕 3그릇 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,새 메뉴 개시!,map_korean_stage7.txt,0
