fileformat,1,,,,,,,,,,,,,,"분식점(오리,토끼->푸들->고양이)",,,,,,,,,,,,,,,,,,,,,,
resource_type,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_ver,1,,,,,,1200,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,
resource_id,level_boonsik,,,,40,40,20,,,0,5,10,13,,,,,,,,,,,,,,,,,,,,,,,,
출현레시피,레시피블럭수,순번,레벨,블럭가중치,얼음나올확률(100),나오는 블럭수,썩는것이 없는시간(초),번식시간(초),블락조합최대갯수,레시피갯수1,레시피갯수2,레시피갯수3,이중주문 확률(100),동물출현간격,출연동물,목표골드,장사시간(sec),퀘스트 보너스,perfect gold,레시피출현빈도,출연레시피,출현동물,배달빈도,캐셔고용할 수있나?,쓰레기블럭,퀘스트,퀘스트 메시지,퀘스트 패널,퀘스트설명,퀘스트설명2,퀘스트설명아이콤,퀘스트 아이템,고장테이블갯수,하트감소분,스테이지 메시지,맵,노끈블락갯수
new_recipe,block_count,no,level,block_weight,ice_probability,block_available_cnt,decay_idle_duration,decay_duration,max_block_count,association_1,association_2,association_3,double_probability,customer_term,animal,goal_gold,time_limit,quest_bonus,perfect_gold,recipe_frequency,order_recipe,order_animal,delivery_frequence,staff,dummy_blocks,quest,quest_msg,quest_pannel,quest_explain,quest_explain2,quest_explain_icon,quest_item,trouble_table_cnt,heart_minus,stage_msg,map,fix_block_cnt
NULL,7,0,1,2.4,6,9,30,20,9,100,0,0,0,6,"parrot,deer,mole,",2600,80,600,5200,"NULL,","ALL,0,cheese,50,pepperoni,50,","ALL,100,",-1,1,"NULL,","FOOD,cheese,3,",치즈피자 팔기,치즈피자 3판 팔기(%d/3),손님 회전을 빠르게 해 많은 음식을 팔아요.,NULL,NULL,"NULL,",0,0,피자집 첫날! 치즈피자3판 팔기,NULL,0
NULL,7,1,2,2.4,10,9,30,20,9,100,0,0,0,6,"parrot,deer,mole,",3000,80,800,5800,"NULL,","ALL,0,cheese,30,pepperoni,30,barbecue,40,","ALL,100,",-1,1,"NULL,","REMOVE,ICE,13,",얼음블럭 13개 깨기,얼음블럭13개깨기(%d/13),얼어있는 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest06.png,"NULL,",0,1,추워요! 재료가 얼어버렸어요~,NULL,0
NULL,7,2,3,2.4,4,9,30,20,9,100,0,0,0,6,"parrot,deer,mole,",3400,80,1000,6300,"NULL,","ALL,0,cheese,25,pepperoni,25,barbecue,25,hawaian,25,","ALL,100,",-1,1,"NULL,","REMOVE,FIX,5,",묶인재료 5개풀기,묶인재료 5개풀기(%d/5),노끈으로 묶여 고정된 블럭에 같은 블럭을 매치하면 깰 수 있어요.,NULL,quest14.png,"NULL,",0,0,원가가 싸다며 사장님이 사온 재료는....,NULL,8
NULL,7,3,4,2.4,4,9,30,20,9,100,0,0,0,5,"parrot,deer,mole,",3800,80,1000,7000,"NULL,","ALL,100,","ALL,100,",-1,0,"NULL,","COMBO,15,1,",퍼즐 15콤보 달성하기,15콤보 1회달성(%d/1),콤보를 잇기 힘들면 새로고침의 원인이 되는 얼음블럭을 방지하는 옷을 입어보세요.,NULL,NULL,"NULL,",0,0,이제 푸들없어도 이정도는.....,NULL,3
shrimp,7,4,5,2.3,4,10,30,20,9,100,0,0,0,5,"horse,parrot,panda,hippo,",4200,100,800,8000,"3,shrimp,","ALL,100,","ALL,100,",-1,1,"NULL,","FOOD,shrimp,3,",쉬림프 피자 팔기,쉬림프 피자 3판 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,쉬림프 피자 메뉴 등장~!,NULL,4
NULL,8,5,6,2.2,3,10,30,20,9,100,0,0,0,5,"horse,parrot,panda,hippo,",4800,100,700,8500,"NULL,","ALL,100,","ALL,100,",5,1,"NULL,","GUEST,delivery,2,",배달 2회 완료,배달 2회 완료(%d/2),전화를 받고 요리를 완료해 배달원을 부르면 배달완료!,NULL,quest12.png,"NULL,",0,0,피자집에서도 배달은 계속돼요~,NULL,4
NULL,8,6,7,2,4,10,20,20,9,90,10,0,0,5,"horse,parrot,panda,hippo,",5400,120,900,9000,"NULL,","ALL,100,","ALL,100,",6,1,"NULL,","FOOD,SIDE,9,",미니샐러드 9개 팔기,미니샐러드 9개 끼워팔기(%d/9),사이드 메뉴를 업그레이드하면 준비시간이 줄어들어 더 많이 판매할 수 있어요.,NULL,NULL,"NULL,",0,0,매상...너는 love....,map_pizza_stage1.txt,4
hawaian_delight,8,7,8,2,2,10,20,20,9,90,10,0,0,5,"horse,parrot,panda,hippo,",5800,120,1000,9800,"4,hawaian_delight,","ALL,100,","ALL,100,",6,1,"NULL,","FOOD,hawaian_delight,3,",하와이안딜라이트피자 팔기,하와이안딜라이트 팔기(%d/3),손님 회전이 빠르면 퀘스트 음식을 주문할 확률이 높아져요.,NULL,NULL,"NULL,",0,0,하와이안 딜라이트 피자 등장~!,map_pizza_stage1.txt,2
NULL,9,8,9,2,2,10,13,8,9,80,20,0,0,4,"horse,parrot,panda,hippo,",6400,150,700,10000,"NULL,","ALL,100,","ALL,100,",6,1,"NULL,","REMOVE,DECAY,15,",썩는재료 15개 없애기,썩는재료 15개 없애기(%d/15),녹색 연기가 나는 블럭을 맞추어 없애야 해요.,NULL,quest07.png,"NULL,",0,2,재료가 다 상하기전에 빨리빨리!,map_pizza_stage1.txt,4
NULL,9,9,10,2,3,10,20,20,9,80,20,0,0,5,"horse,parrot,panda,hippo,deer,",7500,150,1100,10500,"NULL,","ALL,100,","ALL,60,deer,40,",5,1,"NULL,","GUEST,deer,0,",사슴손님 단골만들기,사슴손님 놓치지 않기,NULL,NULL,NULL,"NULL,",0,0,다이어트 중이라면서 맨날 오네요.,map_pizza_stage1.txt,6
