fileformat,1,,,,,
resource_type,sound,,,,,
resource_ver,1,,,,,
resource_id,sound_00,,,,,"이펙트34개 계약했는데, 30개 밖에 없음"
순번,아이디,타입(effect/bgm),,파일명,설명 및 의견,외주 사운드 파일명
no,id,type,tag,filename,explain,
0,0,bgm,"YtLibSndBGM_Game_0,","""snd_bgm_game_0.mp3"",",,
1,1,bgm,"YtLibSndBGM_Game_1,","""snd_bgm_game_1.mp3"",",,
2,2,bgm,"YtLibSndBGM_Game_2,","""snd_bgm_game_2.mp3"",",,
3,3,bgm,"YtLibSndBGM_Title,","""snd_bgm_title.mp3"",",너무 짧은 것 같음,
4,4,bgm,"YtLibSndBGM_Menu,","""snd_bgm_menu.mp3"",",,
5,5,bgm,"YtLibSndBGM_Story,","""snd_bgm_story.mp3"",",,
,0,,"YtLibSndEff_BLOCK_00,","""snd_eff_01.mp3"",",,고기굽기1
,1,,"YtLibSndEff_BLOCK_01,","""snd_eff_02.mp3"",",,야채1
,2,,"YtLibSndEff_BLOCK_02,","""snd_eff_03.mp3"",",,물끓는소리 2
,3,,"YtLibSndEff_BLOCK_03,","""snd_eff_04.mp3"",",,튀기는소리
,4,,"YtLibSndEff_BLOCK_04,","""snd_eff_05.mp3"",",,얼음1
,5,,"YtLibSndEff_BLOCK_05,","""snd_eff_06.mp3"",",,커피원두 소리 1
,6,,"YtLibSndEff_BLOCK_06,","""snd_eff_07.mp3"",",,소스소리 3
,7,,"YtLibSndEff_BLOCK_07,","""snd_eff_08.mp3"",",,봉지소리 2
,8,,"YtLibSndEff_BLOCK_08,","""snd_eff_95.mp3"",",물따르는 소리,
,9,,"YtLibSndEff_BLOCK_09,","""snd_eff_96.mp3"",",도마소리(통통통써는),
,10,,"YtLibSndEff_BLOCK_10,","""snd_eff_97.mp3"",",바삭 혹은 콰작 하고 깨지는소리,
,,,"YtLibSndEff_BLOCK_11,","""snd_eff_106.mp3"",",밥,
,,,"YtLibSndEff_BLOCK_12,","""snd_eff_107.mp3"",",수타,
,,,"YtLibSndEff_BLOCK_13,","""snd_eff_108.mp3"",","고기, 춘장,새우",
,,,"YtLibSndEff_BLOCK_14,","""snd_eff_113.mp3"",","게 지글지글 굽는소리-새우,옥수수",
,,,"YtLibSndEff_BLOCK_15,","""snd_eff_114.mp3"",","캔따는소리-올리브,파인애플",
,,,"YtLibSndEff_BLOCK_16,","""snd_eff_115.mp3"",","소고기,돼지고기-고기굽는소리",
,,,"YtLibSndEff_BLOCK_17,","""snd_eff_116.mp3"",","쌈야채,콩나물-야채씻기",
,,,"YtLibSndEff_BLOCK_18,","""snd_eff_118.mp3"",",없음 -사용처없음,
,,,"YtLibSndEff_BLOCK_BOILED,","""snd_eff_119.mp3"",",,
