"#define STRING_GUEST                            ""게스트 사용자는 이용하실 수 없습니다."""
"#define STRING_CRAZY_OPEN_ALARM                 ""축하합니다. 별을 모두 모아서 크레이지 모드를 오픈할 수 있어요."""
"#define STRING_REWARD_ALARM                     ""점장님~ 평점 안주실 꺼에요? 별다섯개만 주세요. ㅠㅠ \\ 보상으로 5델리 드릴께요~"""
"#define STRING_REWARD_RESULT                    ""감사합니다. 점장님~ \\ 여기 5델리 받아가세요. \\ 제 전 재산이에요."""
"#define STRING_GAEST_OPPORTUNITY                ""개스트를 바로 불러 이번 스테이지를 마저 클리어 하시겠어요?"""
"#define STRING_DANGOL_ALRAM                     ""단골이 되어야 사진을 얻을 수 있어요."""
"#define STRING_HIRE_STAFF_SUCCESS               ""축하합니다. 이제부터 푸들을 고용할 수 있어요."""
"#define STRING_PURCHASE_FAILURE                 ""구매 실패하였습니다."""
"#define STRING_LOGOUT                           ""로그아웃 하시겠습니까?"""
"#define STRING_LOGOUT_RESULT                    ""로그아웃되어 타이틀로 이동합니다."""
"#define STRING_LEAVE                            ""게임을 탈퇴하실 경우 모든 게임데이타, 결제하신 모든 상품들과 구매내역이 삭제되며, 탈퇴후에는 복구가 불가능합니다. 정말 탈퇴하시겠습니까?"""
"#define STRING_LEAVE_RESULT                     ""회원 탈퇴가 완료되었습니다. 타이틀로 돌아갑니다."""
"#define STRING_APPID_COPY_RESULT                ""카카오회원번호가 복사되었습니다. ID를 \""붙여넣기\""할 수 있어요."""
"#define STRING_TITLE_LOGIN_FAILURE              ""로그인 실패하였습니다. 다시 시도해 주세요."""
"#define STRING_TITLE_LOGIN_GETUSER              ""유저정보를 가져오는 중"""
"#define STRING_TITLE_UPDATE_DATA                ""서버와 통신중이에요."""
"#define STRING_TITLE_UPDATE_DATA_FAILURE        ""서버와 통신 실패하였습니다. 다시 시도해 주세요.(계속 실패시, 종료후 재실행해주세요ㅠㅠ)"""
"#define STRING_TITLE_UPDATE_DATA_FAILURE_END    ""서버와 통신 실패하였습니다. 게임을 종료합니다. 다시 시도해 주세요."""
"#define STRING_STAGE_CANTNOTINVITE              ""이번 스테이지에서는 초대할 수 없습니다."""
"#define STRING_INVITE_GUEST                     ""바로 초대하려면 1델리가 소모됩니다. \\ (개스트는 가장 비싼 메뉴를 주문해요.)"""
"#define STRING_INVITE_GUEST2                    ""메인화면에서 친구한테 개스트 보내달라고 조르실 수 있어요."""
"#define STRING_DELLY_UNIT                       ""10델리 단위로 교환할 수 있어요. 델리 사러갈까요?"""
"#define STRING_ITEM_UNIT                        ""10개 단위로 살 수 있어요. 골드 교환하러 갈까요?"""
"#define STRING_NOT_ENOUGH_STAR                  ""별이 모자랍니다. 즉시 오픈시 20델리가 소모됩니다. 오픈하시겠습니까?"""
"#define STRING_NOW_PRMOTE                       ""지금 바로 승진 할 수 있어요"""
"#define STRING_MORE                             ""번 더"""
"#define STRING_HIRE                             ""고용하세요."""
"#define STRING_QUEST_PROMOTE                    ""%d델리가 필요합니다. 승진시킬까요?"""
"#define STRING_MORE_PROMOTE                     ""좀 더 진급시켜야하는데..."""
"#define STRING_EXPLAIN_PROMOTE                  ""푸들을 승진시키면 더 많은 일을 도와줘요."""
"#define STRING_PRIDE                            ""게임결과를 \""%s\""님에게 카카오톡으로 자랑하시겠습니까?"""
"#define STRING_GAMERESULT_PRIDE_CRAZY           ""%s 크레이지모드 %d달성"""
"#define STRING_GAMERESULT_PRIDE_STORY           ""%s %d스테이지 %d달성(총점:%d점)"""
"#define STRING_GAMERESULT_PRIDE_SUCCESS         ""메시지 전송 성공했습니다.(자랑하기보상 %d/10)"""
"#define STRING_SENDMESSAGE_SUCCESS              ""메시지 전송 성공했습니다."""
"#define STRING_SENDMESSAGE_FAILURE              ""메시지 전송 실패했습니다."""
"#define STRING_SENDPRESENT_SUCCESS              ""님에게 선물하기 성공했습니다."""
"#define STRING_SENDPRESENT_FAILURE              ""선물하기 실패했습니다."""
"#define STRING_TIME                             ""시간"""
"#define STRING_SELL_GOLD                        ""판매금액"""
"#define STRING_REMOVE_BLOCK                     ""방해블럭제거"""
"#define STRING_COSTUME_GOLD_LOCK                ""%s골드 이상 보유해야 이 옷을 입을 수 있어요."""
"#define STRING_COSTUME_CRAZY_LOCK               ""크레이지모드를 열어야 이 옷을 입을 수 있어요."""
"#define STRING_COSTUME_ROULETTE_LOCK            ""룰렛에서 %s을(를) 얻어야 이 옷을 입을 수 있어요."""
"#define STRING_GAMERESULT_DELLY                 ""다음으로 바로 이동하시려면 %d델리 소모됩니다. 이동하시겠습니까?"""
"#define STRING_ROULLETTE_DELLY                  ""%d델리를 획득하였습니다."""
"#define STRING_ROULLETTE_GOLD                   ""%d골드를 획득하였습니다."""
"#define STRING_ROULLETTE_GUM                    ""껌 %d개를 획득하였습니다."""
"#define STRING_ROULLETTE_ITEM                   ""%s %s개를 획득하였습니다."""
"#define STRING_ROULLETTE_HAT                    ""\""%s\""를(을) 획득하였습니다. 마이룸에 가서 확인해 보세요."""
"#define STRING_ROULLETTE_GUEST                  ""개스트 이용권 %d장을 획득하였습니다."""
"#define STRING_RECIPE_SET                       ""%s 레시피"""
"#define STRING_RECIPE_SET_DESC                  ""시크릿 레시피 (10델리)를 포함한 전체 레시피를 저렴한 가격으로 한꺼번에 구매할 수 있어요!"""
"#define STRING_RECIPE_SET_BUY_SUCCESS           ""구매 완료 하였습니다. 감사합니다."""
"#define STRING_CONFIRM_RECIPESET_BUY            ""%s의 모든 레시피를 %d델리에 모두 구매하시겠습니까?"""
"#define STRING_UNDER_CONSTRUCT                  ""준비중입니다. 조금만 기다려주세요."""
"#define STRING_item_slot_explain                ""아이템을 3개까지 장착할 수 있어요."""
"#define STRING_question_exit                    ""정말 배고픈 동생들을 두고 게임에서 나가실꺼예요?"""
"#define STRING_exchange_question                ""%d델리를 %s골드로 교환하시겠어요?"""
"#define STRING_exchange_result                  ""감사합니다."""
"#define STRING_exchange_result2                 ""현재 %s골드를 보유하고 있어요."""
"#define STRING_item_question                    ""%s %d개를 구매하시겠어요?"""
"#define STRING_item_gold_price                  ""%s골드가 소모돼요."""
"#define STRING_item_buy_result                  ""%s %d개를 구매했어요."""
"#define STRING_item_buy_result2                 ""현재 %s %d개를 보유하고 있어요."""
"#define STRING_notenough_delly                  ""델리가 부족합니다.\\ 구매하러갈까요?"""
"#define STRING_notenough_gold                   ""골드가 부족합니다.\\ 구매하러갈까요?"""
"#define STRING_question_gohome                  ""스테이지를 종료하고 홈으로 이동할까요?"""
"#define STRING_question_golist                  ""스테이지를 종료하고 스테이지 리스트로 이동할까요?"""
"#define STRING_question_replay                  ""다시 시작할까요?"""
"#define STRING_gum                              ""껌"""
"#define STRING_delly                            ""델리"""
"#define STRING_gold                             ""골드"""
"#define STRING_to_you                           ""님에게"""
"#define STRING_question_senditem                ""%s님에게 %s %d개를 선물로 보내시겠어요?"""
"#define STRING_senditem_success                 ""선물보내기를 성공하였습니다."""
"#define STRING_senditem_faiilure                ""선물보내기를 실패하였습니다.\\ 다시 시도해주세요."""
"#define STRING_invite_friend                    ""친구를 초대해주세요. 껌을 드려요."""
"#define STRING_me                               ""나"""
"#define STRING_if_invite_friend                 ""친구를 초대하면"""
"#define STRING_give_gum                         ""을 1개 드려요."""
"#define STRING_buy_question_bygold              ""%s(을)를 구매하시겠어요?\\ %s골드가 소모됩니다."""
"#define STRING_buy_question_bydelly             ""%s(을)를 구매하시겠어요?\\ %s델리가 소모됩니다."""
"#define STRING_buy_question_bygolddelly         ""%s(을)를 구매하시겠어요? %s델리와 %s골드가 소모됩니다."""
"#define STRING_buy_question_bycash              ""%s(을)를 구매하시겠어요?\\ 현금 %s원이 결제됩니다."""
"#define STRING_buy_question_bycash_dollar       ""%s(을)를 구매하시겠어요?\\ 현금 $%s이 결제됩니다."""
"#define STRING_buy_allcostume                   ""현재 셋팅되어 있는 코스튬"""
"#define STRING_result_buy_success               ""구매해주셔서 고맙습니다."""
"#define STRING_result_buy_fail                  ""구매를 실패 했습니다. \\ 다시 시도해주세요."""
"#define STRING_result_buy_cancel                ""구매를 취소하셨습니다."""
"#define STRING_not_have_costume                 ""아무것도 없습니다. SHOP에서 구매해보세요. 코스튬에 따라 능력치가 달라져요."""
"#define STRING_secret_recipe                    ""%s 레시피를 모두 모아야 시크릿 레시피를 구매할 수 있어요."""
