nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteArmLeftAnrgry,5,angry,position,3,1,0,"[24, 111]",1,"[-781, 520]"
2,0.0.0,1,2,CCSprite,CCSpriteArmLeftAnrgry,5,angry,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[7, 48] | [6, 44] | [-6, 44] | [6, 44] | [7, 48]",1 | 1 | 1 | 1 | 1,"[-795, 606]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-30 | 30 | 40 | 30 | -30,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[16, 51]",1,"[-795, 606]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,3,order,rotation,2,1,0,0,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,1,0,"[16, 51]",1,"[-795, 606]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,1,0,0,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[16, 51]",1,"[-795, 606]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[16, 51]",1,"[-795, 606]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-5, 49] | [0, 49] | [4, 46] | [0, 49] | [-5, 49]",1 | 1 | 1 | 1 | 1,"[-784, 623]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | -10 | -40 | -10 | 20,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,3,order,position,3,1,0,"[-16, 50]",1,"[-784, 623]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,3,order,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,4,like,position,3,1,0,"[-16, 50]",1,"[-784, 623]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,4,like,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,4,like,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,5,angry,position,3,1,0,"[-16, 50]",1,"[-784, 623]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,6,eat,position,3,1,0,"[-16, 50]",1,"[-784, 623]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[-29, 102] | [-15, 92] | [-29, 102]",1 | 1 | 1,"[-31, 106]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,-15 | 65 | -15,1 | 1 | 1,-35
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,1,walkout,visible,1,1,0,true,1,1
