nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 13] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[16, 52] | [18, 49] | [16, 52] | [4, 41] | [16, 52]",1 | 1 | 1 | 1 | 1,"[16, 50]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -30 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[16, 50] | [16, 48.5] | [19, 47.5] | [16, 48.5] | [16, 50]",1 | 1 | 1 | 1 | 1,"[16, 50]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -5 | -40 | -5 | 0,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmLeft,3,order,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft2,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[20.5, 100.5] | [22.5, 104] | [20.5, 100.5] | [19.5, 97] | [20.5, 100.5]",1 | 1 | 1 | 1 | 1,"[20.5, 100.5]"
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft2,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 30 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft2,2,walkin,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteArmLike2,4,like,position,3,2,0.30000001192092896 | 0.5333333611488342,"[24.5, 86] | [24.5, 86]",1 | 1,"[24.5, 86]"
6,0.0.4,1,2,CCSprite,CCSpriteArmLike2,4,like,rotation,2,2,0.30000001192092896 | 0.5333333611488342,-140 | -110,1 | 1,-140
6,0.0.4,1,2,CCSprite,CCSpriteArmLike2,4,like,visible,1,2,0.30000001192092896 | 0.5333333611488342,true | true,1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteArmLike,4,like,position,3,5,0 | 0.1666666716337204 | 0.30000001192092896 | 0.5333333611488342 | 0.6666666865348816,"[18, 111.5] | [24, 111] | [15.5, 105.5] | [24, 111] | [18, 111.5]",1 | 1 | 1 | 1 | 1,"[18, 111.5]"
7,0.0.5,1,2,CCSprite,CCSpriteArmLike,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.30000001192092896 | 0.5333333611488342 | 0.6666666865348816,0 | 20 | -20 | 20 | 0,1 | 1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteArmLike,4,like,visible,1,3,0 | 0.30000001192092896 | 0.5333333611488342,true | true | true,1 | 1 | 1,0
9,0.0.7,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-13, 50] | [-14.5, 47.5] | [-13, 50] | [15, 43.5] | [-13, 50]",1 | 1 | 1 | 1 | 1,"[-13, 50]"
9,0.0.7,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 20 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1,0
9,0.0.7,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,0
9,0.0.7,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,0
