nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegLeft,animal/animal_dear.plist,animal_dear_leg_01.png,"[16, 50, 0]","[16, 50]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,4:like,2:walkin | 4:like,2:walkin | 4:like,
3,0.0.1,1,2,CCSpriteArmLeft,animal/animal_dear.plist,animal_dear_arm_02.png,"[8, 94, 0]",,"[1, 1]","[1, 1, false, 0]",-110,,false,false,false,0,3:order,,,
4,0.0.2,1,2,CCSpriteArmLeft2,animal/animal_dear.plist,animal_dear_arm_01.png,"[20.5, 100.5, 0]","[20.5, 100.5]","[0, 1]","[1, 1, false, 0]",0,0,true,false,false,0,2:walkin,2:walkin,2:walkin,
5,0.0.3,1,2,CCSpriteTail,animal/animal_dear.plist,animal_dear_tail_01.png,"[-23.5, 46, 0]",,"[1, 0.5]","[1, 1, false, 0]",,,false,false,,,,,,
6,0.0.4,1,2,CCSpriteArmLike2,animal/animal_dear.plist,animal_dear_arm_01.png,"[24.5, 86, 0]","[24.5, 86]","[0.5, 1]","[1, 1, false, 0]",-140,-140,false,false,false,0,4:like,4:like,4:like,
7,0.0.5,1,2,CCSpriteArmLike,animal/animal_dear.plist,animal_dear_arm_02.png,"[18, 111.5, 0]","[18, 111.5]","[0, 1]","[1, 1, false, 0]",0,0,true,false,false,0,4:like,4:like,4:like,
8,0.0.6,1,2,CCSpriteBody,animal/animal_dear.plist,animal_dear_body_01.png,"[2, 71, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,,,
9,0.0.7,1,2,CCSpriteLegRight,animal/animal_dear.plist,animal_dear_leg_01.png,"[-13, 50, 0]","[-13, 50]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 5:angry | 6:eat,2:walkin,2:walkin,
10,0.0.8,1,2,CCSpriteArmRight,animal/animal_dear.plist,animal_dear_arm_02.png,"[-9, 98, 0]",,"[1, 0]","[1, 1, false, 0]",-80,,false,true,false,0,3:order,,,
11,0.0.9,1,2,CCSpriteArmRight2,animal/animal_dear.plist,animal_dear_arm_01.png,"[-14, 100.5, 0]","[-14, 100.5]","[1, 1]","[1, 1, false, 0]",0,0,false,false,false,0,2:walkin,2:walkin,2:walkin,
12,0.0.10,1,2,CCSpriteArmLike2,animal/animal_dear.plist,animal_dear_arm_01.png,"[-22, 84, 0]","[-22, 84]","[0.5, 1]","[1, 1, false, 0]",140,140,true,false,false,0,4:like,4:like,4:like,
13,0.0.11,1,2,CCSpriteArmLike,animal/animal_dear.plist,animal_dear_arm_02.png,"[-14, 109, 0]","[-14, 109]","[1, 1]","[1, 1, false, 0]",0,0,false,false,false,0,4:like,4:like,4:like,
14,0.0.12,1,2,CCSpriteFace,animal/animal_dear.plist,animal_dear_face_01.png,"[3, 144, 0]","[3, 144]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin | 4:like | 5:angry | 6:eat,2:walkin | 4:like | 5:angry | 6:eat,
15,0.0.12.0,14,3,CCSpriteEyeNormal,animal/animal_dear.plist,animal_dear_eye_05.png,"[62.5, 52, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,3:order,,,
16,0.0.12.1,14,3,CCSpriteEyeNormal2,animal/animal_dear.plist,animal_dear_eye_01.png,"[62, 52, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,2:walkin | 6:eat,,,
17,0.0.12.2,14,3,CCSpriteEyeClose,animal/animal_dear.plist,animal_dear_eye_02.png,"[62, 52, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,3:order | 4:like,,,
18,0.0.12.3,14,3,CCSpriteEyeCry0,animal/animal_dear.plist,animal_dear_eye_03.png,"[62, 52, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
19,0.0.12.4,14,3,CCSpriteEyeCry1,animal/animal_dear.plist,animal_dear_eye_04.png,"[62, 52, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
20,0.0.12.5,14,3,CCSpriteMouseNormal,animal/animal_dear.plist,animal_dear_mouse_01.png,"[67, 17.5, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,2:walkin | 3:order | 6:eat,,,
21,0.0.12.6,14,3,CCSpriteMouseEat,animal/animal_dear.plist,animal_dear_mouse_02.png,"[67, 17, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,4:like | 6:eat,,,
22,0.0.12.7,14,3,CCSpriteMouseCry0,animal/animal_dear.plist,animal_dear_mouse_03.png,"[67, 17, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
23,0.0.12.8,14,3,CCSpriteMouseCry1,animal/animal_dear.plist,animal_dear_mouse_04.png,"[67, 17, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
24,0.0.13,1,2,CCSpriteArmLeft,animal/animal_dear.plist,animal_dear_arm_03.png,"[51, 72, 0]","[51, 72]","[1, 0]","[1, 1, false, 0]",0,0,false,false,true,0,5:angry | 6:eat,5:angry | 6:eat,5:angry | 6:eat,
25,0.0.14,1,2,CCSpriteArmRight,animal/animal_dear.plist,animal_dear_arm_02.png,"[-27, 108, 0]","[-27, 108]","[1, 0]","[1, 1, false, 0]",180,190,false,true,true,0,5:angry | 6:eat,5:angry | 6:eat,5:angry | 6:eat,
