nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 10] | [0, 0] | [0, 10] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -5] | [0, 0] | [0, -5] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,walkout_pizza,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 10] | [0, 0] | [0, 10] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[5, 84] | [3, 78] | [5, 84] | [3, 78] | [5, 84]",1 | 1 | 1 | 1 | 1,"[-787, 458]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 20 | -20 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-24, 28] | [-25, 32] | [-23, 32] | [-25, 32] | [-24, 28]",1 | 1 | 1 | 1 | 1,"[-748, 486]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 30 | 0 | 30 | 0,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[11, 53] | [-3, 53] | [12, 48] | [-3, 53] | [11, 53]",1 | 1 | 1 | 1 | 1,"[-747, 445]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 20 | -20 | 20 | 0,1 | 1 | 1 | 1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-18, 52] | [-13, 50] | [-15, 50] | [-13, 50] | [-18, 52]",1 | 1 | 1 | 1 | 1,"[-726, 434]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -15 | 22 | -15 | 0,1 | 1 | 1 | 1 | 1,0
6,0.0.4,1,2,CCSprite,CCSpriteBody,2,walkin,position,3,1,0,"[-2, 58]",1,"[-812, 462]"
7,0.0.5,1,2,CCSprite,CCSpriteArmLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-9, 87] | [-5, 83] | [-17, 95] | [-5, 83] | [-9, 87]",1 | 1 | 1 | 1 | 1,"[-727, 413]"
7,0.0.5,1,2,CCSprite,CCSpriteArmLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 20 | -40 | 20 | 0,1 | 1 | 1 | 1 | 1,0
8,0.0.6,1,2,CCSprite,CCSpriteHead,2,walkin,position,3,1,0,"[-1, 68]",1,"[-724, 359]"
9,0.0.7,1,2,CCSprite,CCSpriteLegRightOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-11, 53] | [-4, 48] | [-11, 53] | [3, 53] | [-11, 53]",1 | 1 | 1 | 1 | 1,"[-453, 403]"
9,0.0.7,1,2,CCSprite,CCSpriteLegRightOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 39 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1,0
9,0.0.7,1,2,CCSprite,CCSpriteLegRightOut,3,walkout_pizza,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-11, 53] | [-4, 48] | [-11, 53] | [3, 53] | [-11, 53]",1 | 1 | 1 | 1 | 1,"[-453, 403]"
9,0.0.7,1,2,CCSprite,CCSpriteLegRightOut,3,walkout_pizza,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 39 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1,0
10,0.0.8,1,2,CCSprite,CCSpriteLegLeftOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 52] | [21, 51] | [18, 52] | [3, 47] | [18, 52]",1 | 1 | 1 | 1 | 1,"[-492, 407]"
10,0.0.8,1,2,CCSprite,CCSpriteLegLeftOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
10,0.0.8,1,2,CCSprite,CCSpriteLegLeftOut,3,walkout_pizza,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 52] | [21, 51] | [18, 52] | [3, 47] | [18, 52]",1 | 1 | 1 | 1 | 1,"[-492, 407]"
10,0.0.8,1,2,CCSprite,CCSpriteLegLeftOut,3,walkout_pizza,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
11,0.0.9,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 84] | [-5, 86] | [-7, 84] | [-7, 72] | [-7, 84]",1 | 1 | 1 | 1 | 1,"[-472, 404]"
11,0.0.9,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
11,0.0.9,1,2,CCSprite,CCSpriteArmRightOut,3,walkout_pizza,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 84] | [-5, 86] | [-7, 84] | [-7, 72] | [-7, 84]",1 | 1 | 1 | 1 | 1,"[-472, 404]"
11,0.0.9,1,2,CCSprite,CCSpriteArmRightOut,3,walkout_pizza,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
