nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteArmRight,animal/animal_delivery.plist,animal_delivery_arm_02.png,"[-787, 458, 0]","[-787, 458]","[0, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
3,0.0.1,1,2,CCSpriteTail,animal/animal_delivery.plist,animal_delivery_tail.png,"[-748, 486, 0]","[-748, 486]","[1, 0.5]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
4,0.0.2,1,2,CCSpriteLegLeft,animal/animal_delivery.plist,animal_delivery_leg.png,"[-747, 445, 0]","[-747, 445]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
5,0.0.3,1,2,CCSpriteLegRight,animal/animal_delivery.plist,animal_delivery_leg.png,"[-726, 434, 0]","[-726, 434]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
6,0.0.4,1,2,CCSpriteBody,animal/animal_delivery.plist,animal_delivery_body.png,"[-812, 462, 0]","[-812, 462]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,2:walkin,,
7,0.0.5,1,2,CCSpriteArmLeft,animal/animal_delivery.plist,animal_delivery_arm_01.png,"[-727, 413, 0]","[-727, 413]","[1, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
8,0.0.6,1,2,CCSpriteHead,animal/animal_delivery.plist,animal_delivery_head.png,"[-724, 359, 0]","[-724, 359]","[0.5, 0]","[1, 1, false, 0]",,,false,false,,,,2:walkin,,
9,0.0.7,1,2,CCSpriteLegRightOut,animal/animal_delivery.plist,animal_delivery_leg.png,"[-11, 53, 0]","[-453, 403]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,,,,1:walkout | 3:walkout_pizza,1:walkout | 3:walkout_pizza,
10,0.0.8,1,2,CCSpriteLegLeftOut,animal/animal_delivery.plist,animal_delivery_leg.png,"[18, 52, 0]","[-492, 407]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,,,,1:walkout | 3:walkout_pizza,1:walkout | 3:walkout_pizza,
11,0.0.9,1,2,CCSpriteArmRightOut,animal/animal_delivery.plist,animal_delivery_arm_02.png,"[-7, 84, 0]","[-472, 404]","[1, 1]","[1, 1, false, 0]",0,0,true,false,,,,1:walkout | 3:walkout_pizza,1:walkout | 3:walkout_pizza,
12,0.0.10,1,2,CCSpriteTailOut,animal/animal_delivery.plist,animal_delivery_tail.png,"[32, 35, 0]","[-543, 432]","[0, 0.5]","[1, 1, false, 0]",0,0,true,false,,,,1:walkout | 3:walkout_pizza,1:walkout | 3:walkout_pizza,
13,0.0.11,1,2,CCSpriteBodyOut,animal/animal_delivery.plist,animal_delivery_body.png,"[2, 58, 0]","[-602, 435]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,,,,1:walkout | 3:walkout_pizza,,
14,0.0.12,1,2,CCSpriteBag,animal/animal_delivery.plist,animal_delivery_bag.png,"[-646, 392, 0]","[-646, 392]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,1:walkout,,
15,0.0.13,1,2,CCSpriteArmLeftOut,animal/animal_delivery.plist,animal_delivery_arm_01.png,"[-592, 593, 0]","[-592, 593]","[0, 1]","[1, 1, false, 0]",0,0,true,false,,,,1:walkout,1:walkout,
16,0.0.14,1,2,CCSpriteHeadOut,animal/animal_delivery.plist,animal_delivery_head.png,"[-1, 123, 0]","[-653, 561]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,,,,1:walkout | 3:walkout_pizza,,
17,0.0.15,1,2,CCSpriteArmLeftOutOut,animal/animal_delivery.plist,animal_delivery_arm_01.png,"[27, 51, 0]","[-715, 377]","[0, 1]","[1, 1, false, 0]",-120,,true,false,,,,3:walkout_pizza,,
18,0.0.16,1,2,CCSpriteBagPizza,animal/animal_delivery.plist,animal_delivery_pizza.png,"[51, 114, 0]","[-707, 424]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,3:walkout_pizza,,
