nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerBody,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 62] | [0, 66] | [0, 62]",1 | 1 | 1,"[0, 62]"
1,0.0,0,1,CCLayer,CCLayerBody,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 62] | [2, 60] | [0, 62] | [2, 60] | [0, 62]",1 | 1 | 1 | 1 | 1,"[0, 62]"
1,0.0,0,1,CCLayer,CCLayerBody,3,order,position,3,1,0,"[0, 62]",1,"[0, 62]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[-15, 16] | [-15, 5] | [-15, 16]",1 | 1 | 1,"[-654, 552]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,30 | 100 | 30,1 | 1 | 1,30
2,0.0.0,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,1,0,"[22, 14]",1,"[-690, 545]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-60 | -40 | -80 | -40 | -60,1 | 1 | 1 | 1 | 1,-60
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[22, 14]",1,"[-690, 545]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,-50,1,-60
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,position,3,1,0,"[16, 15]",1,"[-690, 545]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-100 | -90 | -100 | -90 | -100,1 | 1 | 1 | 1 | 1,-60
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,5,angry,position,3,1,0,"[13, 8]",1,"[-690, 545]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,5,angry,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-90 | -95 | -90 | -95 | -90,1 | 1 | 1 | 1 | 1,-60
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,5,angry,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,position,3,1,0,"[22, 14]",1,"[-690, 545]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,rotation,2,11,0 | 0.06666667014360428 | 0.13333334028720856 | 0.20000000298023224 | 0.2666666805744171 | 0.3333333432674408 | 0.4000000059604645 | 0.46666666865348816 | 0.5333333611488342 | 0.6000000238418579 | 0.6666666865348816,-50 | -40 | -50 | -40 | -50 | -40 | -50 | -40 | -50 | -40 | -50,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,-60
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[17, -42] | [23, -38] | [2, -44] | [-11, -40] | [17, -42]",1 | 1 | 1 | 1 | 1,"[-714, 543]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 10 | 20 | 0,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[17, -41]",1,"[-714, 543]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,1,0,"[17, -41]",1,"[-714, 543]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[17, -42]",1,"[-714, 543]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[17, -42]",1,"[-714, 543]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRightOut,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[-2, -23] | [2, -20] | [-2, -23]",1 | 1 | 1,"[-650, 562]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRightOut,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,0 | -50 | 0,1 | 1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRightOut,1,walkout,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBody,2,walkin,position,3,1,0,"[0, 0]",1,"[-620, 538]"
6,0.0.4,1,2,CCSprite,CCSpriteBody,2,walkin,rotation,2,1,0,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteBody,2,walkin,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBody,3,order,position,3,1,0,"[0, 0]",1,"[-620, 538]"
6,0.0.4,1,2,CCSprite,CCSpriteBody,3,order,rotation,2,1,1,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteBody,3,order,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBody,4,like,position,3,1,0,"[0, 0]",1,"[-620, 538]"
6,0.0.4,1,2,CCSprite,CCSpriteBody,4,like,rotation,2,1,1,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteBody,4,like,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBody,5,angry,position,3,1,0,"[0, 0]",1,"[-620, 538]"
6,0.0.4,1,2,CCSprite,CCSpriteBody,5,angry,rotation,2,1,0,20,1,0
6,0.0.4,1,2,CCSprite,CCSpriteBody,5,angry,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBody,6,eat,position,3,1,0,"[0, 0]",1,"[-620, 538]"
6,0.0.4,1,2,CCSprite,CCSpriteBody,6,eat,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteBodyOut,1,walkout,position,3,1,0,"[8, -2]",1,"[-664, 530]"
7,0.0.5,1,2,CCSprite,CCSpriteBodyOut,1,walkout,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteLegLeftOut,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[14, -23] | [4, -19] | [14, -23]",1 | 1 | 1,"[-647, 585]"
8,0.0.6,1,2,CCSprite,CCSpriteLegLeftOut,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,0 | 50 | 0,1 | 1 | 1,0
8,0.0.6,1,2,CCSprite,CCSpriteLegLeftOut,1,walkout,visible,1,1,0,true,1,1
9,0.0.7,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, -43] | [-10, -41] | [4, -41] | [9, -39] | [-7, -43]",1 | 1 | 1 | 1 | 1,"[-686, 536]"
