nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteArmRightOut,animal/animal_duck.plist,animal_duck_arm.png,"[-654, 552, 0]","[-654, 552]","[0.5, 1]","[1, 1, false, 0]",30,30,false,false,true,1,1:walkout,1:walkout,1:walkout,
3,0.0.1,1,2,CCSpriteArmRight,animal/animal_duck.plist,animal_duck_arm.png,"[22, 14, 0]","[-690, 545]","[0.5, 1]","[1, 1, false, 0]",-50,-60,true,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
4,0.0.2,1,2,CCSpriteLegRight,animal/animal_duck.plist,animal_duck_leg.png,"[17, -42, 0]","[-714, 543]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin,
5,0.0.3,1,2,CCSpriteLegRightOut,animal/animal_duck.plist,animal_duck_leg.png,"[-650, 562, 0]","[-650, 562]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
6,0.0.4,1,2,CCSpriteBody,animal/animal_duck.plist,animal_duck_body.png,"[0, 0, 0]","[-620, 538]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry,
7,0.0.5,1,2,CCSpriteBodyOut,animal/animal_duck.plist,animal_duck_body.png,"[-664, 530, 0]","[-664, 530]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,1:walkout,1:walkout,,
8,0.0.6,1,2,CCSpriteLegLeftOut,animal/animal_duck.plist,animal_duck_leg.png,"[-647, 585, 0]","[-647, 585]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
9,0.0.7,1,2,CCSpriteLegLeft,animal/animal_duck.plist,animal_duck_leg.png,"[-7, -42, 0]","[-686, 536]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin,
10,0.0.8,1,2,CCSpriteArmLeft,animal/animal_duck.plist,animal_duck_arm.png,"[-10, 13, 0]","[-675, 549]","[0.5, 1]","[1, 1, false, 0]",50,70,false,false,true,1,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,
11,0.0.9,1,2,CCSpriteFace,animal/animal_duck.plist,animal_duck_normal.png,"[-623, 519, 0]","[-623, 519]","[0.5, 0]","[1, 1, false, 0]",,,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,,
12,0.0.10,1,2,CCSpriteFaceCloseEye,animal/animal_duck.plist,animal_duck_normal_close_eye.png,"[-744, 502, 0]","[-744, 502]","[0.5, 0]","[1, 1, false, 0]",,,false,false,true,1,3:order,3:order,,
13,0.0.11,1,2,CCSpriteFaceOut,animal/animal_duck.plist,animal_duck_normal.png,"[-655, 506, 0]","[-655, 506]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
14,0.0.12,1,2,CCSpriteFaceSmile_0,animal/animal_duck.plist,animal_duck_normal_smile_0.png,"[16, 5, 0]","[-679, 488]","[0.5, 0]","[1, 1, false, 0]",-10,0,false,false,true,1,4:like | 6:eat,4:like | 6:eat,4:like | 6:eat,
15,0.0.13,1,2,CCSpriteFaceSmile_1,animal/animal_duck.plist,animal_duck_normal_smile_1.png,"[16, 5, 0]","[-703, 529]","[0.5, 0]","[1, 1, false, 0]",-10,0,false,false,false,1,4:like | 6:eat,4:like | 6:eat,4:like | 6:eat,
16,0.0.14,1,2,CCSpriteFaceCry,animal/animal_duck.plist,animal_duck_normal_cry.png,"[-707, 537, 0]","[-707, 537]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,5:angry,5:angry,5:angry,
17,0.0.15,1,2,CCSpriteArmCry,animal/animal_duck.plist,animal_duck_arm.png,"[-720, 504, 0]","[-720, 504]","[0.5, 1]","[1, 1, false, 0]",-120,-120,true,false,true,1,5:angry,5:angry,5:angry,
18,0.0.16,1,2,CCSpriteArmLeftOut,animal/animal_duck.plist,animal_duck_arm.png,"[-681, 566, 0]","[-681, 566]","[0.5, 1]","[1, 1, false, 0]",-50,-50,true,false,true,1,1:walkout,1:walkout,1:walkout,
19,0.1,0,1,CCSpriteTearLeft0,animal/animal_duck.plist,animal_duck_tears_0.png,"[-645, 639, 0]","[-645, 639]","[1, 0.699999988079071]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
20,0.2,0,1,CCSpriteTearLeft1,animal/animal_duck.plist,animal_duck_tears_1.png,"[-614, 623, 0]","[-614, 623]","[1, 0.699999988079071]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
21,0.3,0,1,CCSpriteTearLeft2,animal/animal_duck.plist,animal_duck_tears_2.png,"[-643, 662, 0]","[-643, 662]","[1, 0.699999988079071]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
22,0.4,0,1,CCSpriteTearLeft3,animal/animal_duck.plist,animal_duck_tears_3.png,"[-695, 595, 0]","[-695, 595]","[1, 0.699999988079071]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
23,0.5,0,1,CCSpriteTearRight0,animal/animal_duck.plist,animal_duck_tears_0.png,"[-706, 648, 0]","[-706, 648]","[0, 0.699999988079071]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
24,0.6,0,1,CCSpriteTearRight1,animal/animal_duck.plist,animal_duck_tears_1.png,"[-722, 626, 0]","[-722, 626]","[0, 0.699999988079071]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
25,0.7,0,1,CCSpriteTearRight2,animal/animal_duck.plist,animal_duck_tears_2.png,"[-717, 653, 0]","[-717, 653]","[0, 0.699999988079071]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
26,0.8,0,1,CCSpriteTearRight3,animal/animal_duck.plist,animal_duck_tears_3.png,"[-708, 632, 0]","[-708, 632]","[0, 0.699999988079071]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
27,0.9,0,1,CCSpriteSpit_0,animal/animal_duck.plist,animal_duck_spit_0.png,"[80, 106, 0]","[-751, 584]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
28,0.10,0,1,CCSpriteSpit_1,animal/animal_duck.plist,animal_duck_spit_1.png,"[80, 106, 0]","[-732, 585]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
29,0.11,0,1,CCSpriteSpit_2,animal/animal_duck.plist,animal_duck_spit_2.png,"[80, 106, 0]","[-732, 599]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
30,0.12,0,1,CCSpriteSpit_3,animal/animal_duck.plist,animal_duck_spit_3.png,"[80, 106, 0]","[-742, 570]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
31,0.13,0,1,CCSpriteSpit_4,animal/animal_duck.plist,animal_duck_spit_4.png,"[80, 106, 0]","[-732, 566]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
