nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 0] | [0, 23] | [0, 0] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteTail2,5,angry,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[19, 32] | [6, 42] | [19, 32]",1 | 1 | 1,"[5, 44]"
2,0.0.0,1,2,CCSprite,CCSpriteTail2,5,angry,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,-100 | -70 | -100,1 | 1 | 1,-80
2,0.0.0,1,2,CCSprite,CCSpriteTail2,5,angry,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 61] | [-3, 62] | [-7, 61] | [-3, 62] | [-7, 61]",1 | 1 | 1 | 1 | 1,"[-7, 61]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 20 | 0 | 20 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,3,order,position,3,3,0 | 0.5 | 1,"[-7, 61] | [-7, 61] | [-7, 61]",1 | 1 | 1,"[-7, 61]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,3,order,rotation,2,3,0 | 0.5 | 1,0 | 20 | 0,1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 61] | [-8, 45] | [-8, 45] | [-8, 45] | [-7, 61]",1 | 1 | 1 | 1 | 1,"[-7, 61]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,40 | 40 | 40 | 40 | 40,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,5,angry,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[-24, 28] | [-12, 43] | [-24, 28]",1 | 1 | 1,"[-7, 61]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,5,angry,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,100 | 70 | 100,1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,6,eat,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 61] | [-7, 61] | [-7, 61] | [-7, 61] | [-7, 61]",1 | 1 | 1 | 1 | 1,"[-7, 61]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,6,eat,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 20 | 0 | 20 | 0,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[13, 48] | [12, 48] | [13, 48] | [-13, 44] | [13, 48]",1 | 1 | 1 | 1 | 1,"[13, 48]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -25 | 0 | 30 | 0,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[13, 48] | [13, 48] | [9, 45] | [13, 48] | [13, 48]",1 | 1 | 1 | 1 | 1,"[13, 48]"
4,0.0.2,1,2,CCSprite,CCSpriteLegLeft,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 0 | -20 | 0 | 0,1 | 1 | 1 | 1 | 1,0
