nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerHippo,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 8] | [0, 0] | [0, 8] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,1,walkout,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHippo,2,walkin,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,2,walkin,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHippo,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,3,order,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHippo,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,4,like,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHippo,5,angry,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,5,angry,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHippo,6,eat,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHippo,6,eat,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmBendRight,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[11, 100] | [11, 104] | [11, 100] | [11, 104] | [11, 100]",1 | 1 | 1 | 1 | 1,"[-875, 923]"
2,0.0.0,1,2,CCSprite,CCSpriteArmBendRight,5,angry,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-30 | -25 | -30 | -25 | -30,1 | 1 | 1 | 1 | 1,-30
2,0.0.0,1,2,CCSprite,CCSpriteArmBendRight,5,angry,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[25, 104] | [31, 104] | [44, 105] | [31, 104] | [25, 104]",1 | 1 | 1 | 1 | 1,"[-832, 876]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-35 | -20 | 20 | -20 | -35,1 | 1 | 1 | 1 | 1,-210
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,2,walkin,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[32, 106]",1,"[-832, 876]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,-25,1,-210
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,position,3,1,0,"[48, 76]",1,"[-832, 876]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,rotation,2,1,0,-210,1,-210
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,position,3,1,0,"[30, 106]",1,"[-832, 876]"
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,rotation,2,1,0,-25,1,-210
3,0.0.1,1,2,CCSprite,CCSpriteArmRight,6,eat,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-10, 55] | [-5, 55] | [22, 50] | [-5, 55] | [-10, 55]",1 | 1 | 1 | 1 | 1,"[-825, 900]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | 0 | -20 | 0 | 20,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[26, 56]",1,"[-825, 900]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,1,0,"[26, 56]",1,"[-825, 900]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[26, 56]",1,"[-825, 900]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[26, 56]",1,"[-825, 900]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[5, 51] | [0, 49] | [-20, 51] | [0, 49] | [5, 51]",1 | 1 | 1 | 1 | 1,"[-804, 912]"
5,0.0.3,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-10 | 0 | 20 | 0 | -10,1 | 1 | 1 | 1 | 1,0
