nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteArmBendRight,animal/animal_hippo.plist,animal_hippo_arm_bend.png,"[-875, 923, 0]","[-875, 923]","[0, 1]","[1, 1, false, 0]",-30,-30,true,false,true,1,5:angry,5:angry,5:angry,
3,0.0.1,1,2,CCSpriteArmRight,animal/animal_hippo.plist,animal_hippo_arm_normal.png,"[30, 106, 0]","[-832, 876]","[0.5, 1]","[1, 1, false, 0]",-25,-210,true,false,true,1,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,
4,0.0.2,1,2,CCSpriteLegRight,animal/animal_hippo.plist,animal_hippo_leg.png,"[26, 56, 0]","[-825, 900]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
5,0.0.3,1,2,CCSpriteLegLeft,animal/animal_hippo.plist,animal_hippo_leg.png,"[-22, 55, 0]","[-804, 912]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
6,0.0.4,1,2,CCSpriteLegOutLeft,animal/animal_hippo.plist,animal_hippo_leg.png,"[-782, 957, 0]","[-782, 957]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
7,0.0.5,1,2,CCSpriteLegOutRight,animal/animal_hippo.plist,animal_hippo_leg.png,"[-793, 936, 0]","[-793, 936]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
8,0.0.6,1,2,CCSpriteArmOutRight,animal/animal_hippo.plist,animal_hippo_arm_normal.png,"[-820, 980, 0]","[-820, 980]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,1:walkout,1:walkout,1:walkout,
9,0.0.7,1,2,CCSpriteEarOutRight,animal/animal_hippo.plist,animal_hippo_ear.png,"[-847, 899, 0]","[-847, 899]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
10,0.0.8,1,2,CCSpriteEarOutLeft,animal/animal_hippo.plist,animal_hippo_ear.png,"[-797, -14, 0]","[-797, -14]","[-3.5999999046325684, 27.57575798034668]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
11,0.0.9,1,2,CCSpriteBodyOut,animal/animal_hippo.plist,animal_hippo_body.png,"[-920, 960, 0]","[-920, 960]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
12,0.0.10,1,2,CCSpriteFaceOut,animal/animal_hippo.plist,animal_hippo_face_normal.png,"[-862, 866, 0]","[-862, 866]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
13,0.0.10.0,12,3,CCSpriteEyeNormal,animal/animal_hippo.plist,animal_hippo_eye_normal.png,"[63, 67, 0]","[63, 67]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
14,0.0.10.1,12,3,CCSpriteMouse,animal/animal_hippo.plist,animal_hippo_mouth_normal_eat02.png,"[64, 24, 0]","[64, 24]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
15,0.0.11,1,2,CCSpriteArmOutLeft,animal/animal_hippo.plist,animal_hippo_arm_normal.png,"[-858, 960, 0]","[-858, 960]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
16,0.0.12,1,2,CCSpriteBody,animal/animal_hippo.plist,animal_hippo_body.png,"[-3, 61, 0]","[-866, 901]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
17,0.0.13,1,2,CCSpriteEarLeft,animal/animal_hippo.plist,animal_hippo_ear.png,"[-47, 169, 0]","[-872, 871]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
