nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerHorse,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 18] | [0, 13] | [0, 18] | [0, 13] | [0, 18]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,1,walkout,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHorse,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 5] | [0, 0] | [0, 5] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,2,walkin,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHorse,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,3,order,rotation,2,1,0,0,1,0
1,0.0,0,1,CCLayer,CCLayerHorse,3,order,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHorse,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,4,like,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHorse,5,angry,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,5,angry,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerHorse,6,eat,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerHorse,6,eat,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteLegDanceRight_0,4,like,position,3,4,0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,"[2, 57] | [2, 57] | [2, 57] | [2, 57]",1 | 1 | 1 | 1,"[-776, 880]"
2,0.0.0,1,2,CCSprite,CCSpriteLegDanceRight_0,4,like,rotation,2,4,0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,-10 | 0 | -10 | 0,1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegDanceRight_0,4,like,visible,1,4,0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,true | true | true | true,1 | 1 | 1 | 1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegDanceRight_1,4,like,position,3,6,0 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,"[4, 46] | [4, 46] | [4, 46] | [4, 46] | [4, 46] | [4, 46]",1 | 1 | 1 | 1 | 1 | 1,"[-799, 894]"
3,0.0.1,1,2,CCSprite,CCSpriteLegDanceRight_1,4,like,rotation,2,6,0 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,0 | 0 | -20 | 0 | -20 | 0,1 | 1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegDanceRight_1,4,like,visible,1,5,0 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.2999999523162842,true | true | true | true | true,1 | 1 | 1 | 1 | 1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 46] | [14, 42] | [1, 41] | [14, 42] | [18, 46]",1 | 1 | 1 | 1 | 1,"[-739, 881]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-20 | 0 | 30 | 0 | -20,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[17, 48]",1,"[-739, 881]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[17, 48]",1,"[-739, 881]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,rotation,2,1,0,0,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[17, 48]",1,"[-739, 881]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[18, 98]",1,"[-768, 929]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,0,1,0
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,5,angry,position,3,1,0,"[18, 98]",1,"[-768, 929]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,5,angry,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteArmRightNormal,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[25, 100] | [14, 91] | [21, 93] | [14, 91] | [25, 100]",1 | 1 | 1 | 1 | 1,"[-773, 845]"
6,0.0.4,1,2,CCSprite,CCSpriteArmRightNormal,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | -30 | -40 | -30 | 20,1 | 1 | 1 | 1 | 1,0
6,0.0.4,1,2,CCSprite,CCSpriteArmRightNormal,2,walkin,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteHair,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-21, 83] | [-21, 83] | [-20, 84] | [-21, 83] | [-21, 83]",1 | 1 | 1 | 1 | 1,"[-739, 866]"
7,0.0.5,1,2,CCSprite,CCSpriteHair,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 0 | 3 | 0 | 0,1 | 1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteHair,2,walkin,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteHair,3,order,position,3,1,0,"[-21, 81]",1,"[-739, 866]"
7,0.0.5,1,2,CCSprite,CCSpriteHair,3,order,rotation,2,1,0,0,1,0
7,0.0.5,1,2,CCSprite,CCSpriteHair,3,order,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteHair,4,like,position,3,9,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.3333333730697632,"[-21, 81] | [-20, 82] | [-21, 81] | [-20, 82] | [-21, 81] | [-22, 82] | [-21, 81] | [-22, 82] | [-21, 81]",1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,"[-739, 866]"
7,0.0.5,1,2,CCSprite,CCSpriteHair,4,like,rotation,2,9,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.3333333730697632,0 | 5 | 0 | 5 | 0 | -5 | 0 | -5 | 0,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteHair,4,like,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteHair,5,angry,position,3,1,0,"[-21, 81]",1,"[-739, 866]"
7,0.0.5,1,2,CCSprite,CCSpriteHair,5,angry,rotation,2,1,0,0,1,0
7,0.0.5,1,2,CCSprite,CCSpriteHair,5,angry,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteHair,6,eat,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-21, 81] | [-20, 80] | [-21, 81] | [-20, 80] | [-21, 81]",1 | 1 | 1 | 1 | 1,"[-739, 866]"
7,0.0.5,1,2,CCSprite,CCSpriteHair,6,eat,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -5 | 0 | -5 | 0,1 | 1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteHair,6,eat,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteTail,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-18, 65] | [-18, 63] | [-18, 63] | [-18, 63] | [-18, 65]",1 | 1 | 1 | 1 | 1,"[-691, 973]"
8,0.0.6,1,2,CCSprite,CCSpriteTail,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | 10 | 0 | 10 | 20,1 | 1 | 1 | 1 | 1,-10
8,0.0.6,1,2,CCSprite,CCSpriteTail,2,walkin,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteTail,3,order,position,3,1,0,"[-24, 61]",1,"[-691, 973]"
8,0.0.6,1,2,CCSprite,CCSpriteTail,3,order,rotation,2,1,0,-10,1,-10
8,0.0.6,1,2,CCSprite,CCSpriteTail,3,order,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteTail,4,like,position,3,9,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.3333333730697632,"[-22, 63] | [-19, 62] | [-22, 63] | [-19, 62] | [-22, 63] | [-22, 63] | [-22, 63] | [-22, 63] | [-22, 63]",1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,"[-691, 973]"
8,0.0.6,1,2,CCSprite,CCSpriteTail,4,like,rotation,2,9,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.3333333730697632,-10 | 25 | -10 | 25 | -10 | -20 | -10 | -10 | -10,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,-10
8,0.0.6,1,2,CCSprite,CCSpriteTail,4,like,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteTail,5,angry,position,3,1,0,"[-24, 61]",1,"[-691, 973]"
8,0.0.6,1,2,CCSprite,CCSpriteTail,5,angry,rotation,2,1,0,-10,1,-10
8,0.0.6,1,2,CCSprite,CCSpriteTail,5,angry,visible,1,1,0,true,1,1
8,0.0.6,1,2,CCSprite,CCSpriteTail,6,eat,position,3,1,0,"[-22, 63]",1,"[-691, 973]"
8,0.0.6,1,2,CCSprite,CCSpriteTail,6,eat,rotation,2,1,0,-10,1,-10
8,0.0.6,1,2,CCSprite,CCSpriteTail,6,eat,visible,1,1,0,true,1,1
9,0.0.7,1,2,CCSprite,CCSpriteLegLeft,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-8, 30] | [-12, 34] | [11, 31] | [-12, 34] | [-8, 30]",1 | 1 | 1 | 1 | 1,"[-727, 887]"
9,0.0.7,1,2,CCSprite,CCSpriteLegLeft,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,60 | 0 | -70 | 0 | 60,1 | 1 | 1 | 1 | 1,60
9,0.0.7,1,2,CCSprite,CCSpriteLegLeft,1,walkout,visible,1,1,0,true,1,1
10,0.0.8,1,2,CCSprite,CCSpriteHairOut,1,walkout,position,3,1,0,"[23, 135]",1,"[-707, 908]"
10,0.0.8,1,2,CCSprite,CCSpriteHairOut,1,walkout,rotation,2,1,0,0,1,0
10,0.0.8,1,2,CCSprite,CCSpriteHairOut,1,walkout,visible,1,1,0,true,1,1
11,0.0.9,1,2,CCSprite,CCSpriteTailOut,1,walkout,position,3,1,0,"[24, 42]",1,"[-792, 911]"
11,0.0.9,1,2,CCSprite,CCSpriteTailOut,1,walkout,rotation,2,1,0,-50,1,-50
11,0.0.9,1,2,CCSprite,CCSpriteTailOut,1,walkout,visible,1,1,0,true,1,1
12,0.0.10,1,2,CCSprite,CCSpriteArmOutLeft,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-3, 82] | [-3, 82] | [-3, 82] | [-3, 82] | [-3, 82]",1 | 1 | 1 | 1 | 1,"[-750, 896]"
12,0.0.10,1,2,CCSprite,CCSpriteArmOutLeft,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,60 | 40 | 60 | 40 | 60,1 | 1 | 1 | 1 | 1,60
12,0.0.10,1,2,CCSprite,CCSpriteArmOutLeft,1,walkout,visible,1,1,0,true,1,1
