nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegDanceRight_0,animal/animal_horse.plist,animal_horse_leg_02.png,"[-776, 880, 0]","[-776, 880]","[0, 1]","[1, 1, false, 0]",0,0,true,false,true,1,4:like,4:like,4:like,
3,0.0.1,1,2,CCSpriteLegDanceRight_1,animal/animal_horse.plist,animal_horse_leg_03.png,"[-799, 894, 0]","[-799, 894]","[0, 1]","[1, 1, false, 0]",0,0,true,false,true,1,4:like,4:like,4:like,
4,0.0.2,1,2,CCSpriteLegRight,animal/animal_horse.plist,animal_horse_horse_leg.png,"[17, 48, 0]","[-739, 881]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order | 5:angry,
5,0.0.3,1,2,CCSpriteArmRight,animal/animal_horse.plist,animal_horse_arm_02.png,"[-768, 929, 0]","[-768, 929]","[0, 1]","[1, 1, false, 0]",0,0,true,false,true,1,3:order | 5:angry,3:order | 5:angry,3:order,
6,0.0.4,1,2,CCSpriteArmRightNormal,animal/animal_horse.plist,animal_horse_arm_01.png,"[-773, 845, 0]","[-773, 845]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,2:walkin,2:walkin,2:walkin,
7,0.0.5,1,2,CCSpriteHair,animal/animal_horse.plist,animal_horse_horse_hair.png,"[-21, 81, 0]","[-739, 866]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
8,0.0.6,1,2,CCSpriteTail,animal/animal_horse.plist,animal_horse_tail.png,"[-22, 63, 0]","[-691, 973]","[1, 1]","[1, 1, false, 0]",-10,-10,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
9,0.0.7,1,2,CCSpriteLegLeft,animal/animal_horse.plist,animal_horse_horse_leg.png,"[-727, 887, 0]","[-727, 887]","[0.5, 1]","[1, 1, false, 0]",60,60,true,false,true,1,1:walkout,1:walkout,1:walkout,
10,0.0.8,1,2,CCSpriteHairOut,animal/animal_horse.plist,animal_horse_horse_hair.png,"[-707, 908, 0]","[-707, 908]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
11,0.0.9,1,2,CCSpriteTailOut,animal/animal_horse.plist,animal_horse_tail.png,"[-792, 911, 0]","[-792, 911]","[0, 1]","[1, 1, false, 0]",-50,-50,true,false,true,1,1:walkout,1:walkout,1:walkout,
12,0.0.10,1,2,CCSpriteArmOutLeft,animal/animal_horse.plist,animal_horse_arm_01.png,"[-750, 896, 0]","[-750, 896]","[0.5, 1]","[1, 1, false, 0]",60,60,false,false,true,1,1:walkout,1:walkout,1:walkout,
13,0.0.11,1,2,CCSpriteBodyOut,animal/animal_horse.plist,animal_horse_body.png,"[-783, 870, 0]","[-783, 870]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
14,0.0.11.0,13,3,CCSpriteLegRight,animal/animal_horse.plist,animal_horse_horse_leg.png,"[47, 19, 0]","[47, 19]","[0.5, 1]","[1, 1, false, 0]",-70,-70,true,false,true,1,1:walkout,1:walkout,1:walkout,
15,0.0.11.1,13,3,CCSpriteCloth,animal/animal_horse.plist,animal_horse_best.png,"[37, 41, 0]","[37, 41]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
16,0.0.12,1,2,CCSpriteArmOutRight,animal/animal_horse.plist,animal_horse_arm_01.png,"[-794, 935, 0]","[-794, 935]","[0.5, 1]","[1, 1, false, 0]",-50,-50,true,false,true,1,1:walkout,1:walkout,1:walkout,
17,0.0.13,1,2,CCSpriteFaceOut,animal/animal_horse.plist,animal_horse_face.png,"[-758, 837, 0]","[-758, 837]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
18,0.0.13.0,17,3,CCSpriteEye,animal/animal_horse.plist,animal_horse_eye_01.png,"[59, 49, 0]","[59, 49]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,1:walkout,1:walkout,,1:walkout
19,0.0.13.1,17,3,CCSpriteMouse,animal/animal_horse.plist,animal_horse_mouse_01.png,"[58, 13, 0]","[58, 13]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
20,0.0.14,1,2,CCSpriteBody,animal/animal_horse.plist,animal_horse_body.png,"[2, 62, 0]","[-724, 855]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
21,0.0.14.0,20,3,CCSpriteLegLeft,animal/animal_horse.plist,animal_horse_horse_leg.png,"[17, 24, 0]","[-697, 800]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order,
22,0.0.14.1,20,3,CCSpriteLegLeftDance_0,animal/animal_horse.plist,animal_horse_leg_02.png,"[-708, 890, 0]","[-708, 890]","[1, 1]","[1, 1, false, 0]",0,0,false,false,true,1,4:like,4:like,4:like,
23,0.0.14.2,20,3,CCSpriteLegLeftDance_1,animal/animal_horse.plist,animal_horse_leg_03.png,"[-673, 857, 0]","[-673, 857]","[1, 1]","[1, 1, false, 0]",0,0,false,false,true,1,4:like,4:like,4:like,
24,0.0.14.3,20,3,CCSpriteCloth,animal/animal_horse.plist,animal_horse_best.png,"[35, 41, 0]","[-59, 858]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like,
25,0.0.14.4,20,3,CCSpriteArmLeft,animal/animal_horse.plist,animal_horse_arm_02.png,"[-716.6588134765625, 894.652587890625, 0]","[-716.6588134765625, 894.652587890625]","[1, 1]","[1, 1, false, 0]",0,0,false,false,true,1,3:order | 5:angry,3:order | 5:angry,3:order,
