nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,2,walkin,position,3,1,0,"[-7, 94]",1,"[-7, 92]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,3,order,position,3,1,0,"[-7, 94]",1,"[-7, 92]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 96] | [-7, 92] | [-7, 96] | [-7, 92] | [-7, 96]",1 | 1 | 1 | 1 | 1,"[-7, 92]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,5,angry,displayFrame,7,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[animal_lion_hair_02.png, animal/animal_lion.plist] | [animal_lion_hair_03.png, animal/animal_lion.plist] | [animal_lion_hair_02.png, animal/animal_lion.plist] | [animal_lion_hair_03.png, animal/animal_lion.plist] | [animal_lion_hair_02.png, animal/animal_lion.plist]",0 | 0 | 0 | 0 | 0,"[animal_lion_hair_01.png, animal/animal_lion.plist]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.666670024394989,"[-7, 92] | [-7, 95] | [-7, 92] | [-7, 95] | [-7, 92]",1 | 1 | 1 | 1 | 1,"[-7, 92]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,6,eat,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-7, 93] | [-7, 90] | [-7, 93] | [-7, 90] | [-7, 93]",1 | 1 | 1 | 1 | 1,"[-7, 92]"
2,0.0.0,1,2,CCSprite,CCSpriteHair,6,eat,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 10 | 0 | 10 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[13, 55] | [7, 54] | [13, 55] | [6, 55] | [13, 55]",1 | 1 | 1 | 1 | 1,"[13, 55]"
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -20 | 0 | 30 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,4,like,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,5,angry,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft,6,eat,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[17, 99] | [16, 98] | [17, 99] | [28, 99] | [17, 99]",1 | 1 | 1 | 1 | 1,"[17, 99]"
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-30 | -45 | -30 | 30 | -30,1 | 1 | 1 | 1 | 1,-30
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft,2,walkin,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft,3,order,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmLeft,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[24, 84] | [19, 90] | [24, 84] | [19, 90] | [24, 84]",1 | 1 | 1 | 1 | 1,"[17, 99]"
