nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 2] | [0, 0] | [0, 2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[29, 34] | [8, 34] | [-13, 33] | [3, 33] | [29, 34]",1 | 1 | 1 | 1 | 1,"[21, 33]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-20 | 0 | 20 | 10 | -20,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,5,angry,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,6,eat,position,3,1,0,"[21, 33]",1,"[21, 33]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,6,eat,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-16, 33] | [1, 33] | [26, 33] | [9, 32] | [-16, 33]",1 | 1 | 1 | 1 | 1,"[-13, 33]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | 10 | -10 | 0 | 20,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteBody,2,walkin,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteBody,3,order,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteBody,4,like,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteBody,5,angry,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteBody,6,eat,position,3,1,0,"[0, 66]",1,"[0, 66]"
4,0.0.2,1,2,CCSprite,CCSpriteBody,6,eat,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,2,walkin,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,3,order,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,4,like,position,3,1,0,"[1, 91]",1,"[-1, 91]"
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,4,like,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-1, 91] | [-1, 96] | [-1, 91] | [-1, 96] | [-1, 91]",1 | 1 | 1 | 1 | 1,"[-1, 91]"
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,5,angry,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,6,eat,position,3,1,0,"[1, 91]",1,"[-1, 91]"
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,6,eat,rotation,2,1,0,0,1,0
5,0.0.3,1,2,CCSprite,CCSpriteShoulder,6,eat,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteHeadTail,2,walkin,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteHeadTail,3,order,visible,1,1,0,true,1,0
