nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegLeft,animal/animal_mole.plist,animal_mole_leg.png,"[21, 33, 0]","[21, 33]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 6:eat,2:walkin,
3,0.0.1,1,2,CCSpriteLegRight,animal/animal_mole.plist,animal_mole_leg.png,"[-13, 33, 0]","[-13, 33]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin,2:walkin,
4,0.0.2,1,2,CCSpriteBody,animal/animal_mole.plist,animal_mole_body.png,"[0, 66, 0]","[0, 66]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,6:eat,,
5,0.0.3,1,2,CCSpriteShoulder,animal/animal_mole.plist,animal_mole_shoulder.png,"[1, 91, 0]","[-1, 91]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,4:like | 5:angry | 6:eat,6:eat,
6,0.0.4,1,2,CCSpriteHeadTail,animal/animal_mole.plist,animal_mole_head_tail.png,"[-36, 113, 0]","[-36, 113]","[1, 0.5]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,4:like | 6:eat,4:like | 6:eat,
7,0.0.5,1,2,CCSpriteHeadNormal,animal/animal_mole.plist,animal_mole_head_normal.png,"[4, 133, 0]","[-2, 141]","[0.5, 0.5]","[1, 1, false, 0]",10,0,false,false,true,0,2:walkin | 3:order | 6:eat,6:eat,6:eat,
8,0.0.6,1,2,CCSpriteHeadLike,animal/animal_mole.plist,animal_mole_head_like.png,"[0, 139, 0]","[0, 139]","[0.5, 0.5]","[1, 1, false, 0]",5,5,false,false,false,0,4:like,4:like,4:like,
9,0.0.7,1,2,CCSpriteHeadAngry,animal/animal_mole.plist,animal_mole_head_angry.png,"[-1, 141, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
10,0.0.7.0,9,3,CCSpriteHeadAcc,animal/animal_mole.plist,animal_mole_head_acc.png,"[22, 58, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
11,0.0.8,1,2,CCSpriteArmNomral,animal/animal_mole.plist,animal_mole_arm_normal.png,"[-1, 62, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,2:walkin | 3:order | 5:angry,,,
12,0.0.9,1,2,CCSpriteArmUpper,animal/animal_mole.plist,animal_mole_arm_upper.png,"[1, 82, 0]","[1, 81]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,0,4:like | 6:eat,6:eat,6:eat,
13,0.0.10,1,2,CCSpriteEat0,animal/animal_mole.plist,animal_mole_effect_eat01.png,"[10, 104, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,6:eat,,,
14,0.0.11,1,2,CCSpriteEat1,animal/animal_mole.plist,animal_mole_effect_eat02.png,"[10, 104, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,6:eat,,,
15,0.0.12,1,2,CCSpriteEat2,animal/animal_mole.plist,animal_mole_effect_eat03.png,"[10, 104, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,6:eat,,,
16,0.0.13,1,2,CCSpriteEat3,animal/animal_mole.plist,animal_mole_effect_eat04.png,"[10, 104, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,6:eat,,,
17,0.0.14,1,2,CCSpriteEat4,animal/animal_mole.plist,animal_mole_effect_eat05.png,"[10, 104, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,6:eat,,,
