nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[20, 57] | [5, 56] | [-17, 58] | [0, 55] | [20, 57]",1 | 1 | 1 | 1 | 1,"[17, 59]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-10 | 0 | 15 | 15 | -10,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,6,eat,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft_In,4,like,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegLeft_In,5,angry,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-22, 56] | [-4, 56] | [13, 56] | [-2, 54] | [-22, 56]",1 | 1 | 1 | 1 | 1,"[-20, 57]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,15 | 10 | -10 | -5 | 15,1 | 1 | 1 | 1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteArmLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[36, 111] | [27, 114] | [15, 114] | [27, 114] | [36, 111]",1 | 1 | 1 | 1 | 1,"[20, 115]"
5,0.0.3,1,2,CCSprite,CCSpriteArmLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,30 | -10 | -45 | -10 | 30,1 | 1 | 1 | 1 | 1,-30
5,0.0.3,1,2,CCSprite,CCSpriteArmLeft,2,walkin,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteArmLeft,3,order,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteArmLeftTop,4,like,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteArmLeftTop,5,angry,visible,1,1,0,true,1,0
6,0.0.4,1,2,CCSprite,CCSpriteArmLeftTop,6,eat,position,3,1,0,"[32, 122]",1,"[-35, 116]"
6,0.0.4,1,2,CCSprite,CCSpriteArmLeftTop,6,eat,visible,1,1,0,true,1,0
8,0.0.6,1,2,CCSprite,CCSpriteArmRightTop,4,like,visible,1,1,0,true,1,0
8,0.0.6,1,2,CCSprite,CCSpriteArmRightTop,5,angry,visible,1,1,0,true,1,0
8,0.0.6,1,2,CCSprite,CCSpriteArmRightTop,6,eat,position,3,1,0,"[-37, 121]",1,"[-35, 116]"
8,0.0.6,1,2,CCSprite,CCSpriteArmRightTop,6,eat,visible,1,1,0,true,1,0
9,0.0.7,1,2,CCSprite,CCSpriteFace,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 3 | 0 | 3 | 0,1 | 1 | 1 | 1 | 1,0
9,0.0.7,1,2,CCSprite,CCSpriteFace,4,like,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-2, 150] | [-7, 150] | [-2, 150] | [-7, 150] | [-2, 150]",1 | 1 | 1 | 1 | 1,"[-5, 150]"
9,0.0.7,1,2,CCSprite,CCSpriteFace,4,like,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,5 | -3 | 5 | -3 | 5,1 | 1 | 1 | 1 | 1,0
