nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegLeft,animal/animal_panda.plist,animal_panda_leg_01.png,"[17, 59, 0]","[17, 59]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 6:eat,2:walkin,2:walkin,
3,0.0.1,1,2,CCSpriteLegLeft_In,animal/animal_panda.plist,animal_panda_leg_01.png,"[17, 58, 0]",,"[0.5, 1]","[1, 1, false, 0]",,,true,false,false,0,4:like | 5:angry,,,
4,0.0.2,1,2,CCSpriteLegRight,animal/animal_panda.plist,animal_panda_leg_01.png,"[-20, 57, 0]","[-20, 57]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin,2:walkin,
5,0.0.3,1,2,CCSpriteArmLeft,animal/animal_panda.plist,animal_panda_arm_left_01.png,"[20, 115, 0]","[20, 115]","[0.5, 1]","[1, 1, false, 0]",-30,-30,false,false,false,0,2:walkin | 3:order,2:walkin,2:walkin,
6,0.0.4,1,2,CCSpriteArmLeftTop,animal/animal_panda.plist,animal_panda_arm_left_top.png,"[32, 122, 0]","[-35, 116]","[0.5, 1]","[1, 1, false, 0]",,,false,false,true,0,4:like | 5:angry | 6:eat,6:eat,,
7,0.0.5,1,2,CCSpriteBody,animal/animal_panda.plist,animal_panda_body_01.png,"[-3, 73, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,,,
8,0.0.6,1,2,CCSpriteArmRightTop,animal/animal_panda.plist,animal_panda_arm_left_top.png,"[-37, 121, 0]","[-35, 116]","[0.5, 1]","[1, 1, false, 0]",,,false,false,true,0,4:like | 5:angry | 6:eat,6:eat,,
9,0.0.7,1,2,CCSpriteFace,animal/animal_panda.plist,animal_panda_face_01.png,"[-3, 149, 0]","[-5, 150]","[0.5, 0.5]","[1, 1, false, 0]",5,0,false,false,,,,4:like | 5:angry | 6:eat,2:walkin | 4:like | 5:angry | 6:eat,
10,0.0.7.0,9,3,CCSpriteEyeClose,animal/animal_panda.plist,animal_panda_eye_03.png,"[63, 51, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,3:order,,,
11,0.0.7.1,9,3,CCSpriteEyeOpen,animal/animal_panda.plist,animal_panda_eye_01.png,"[63, 51, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,2:walkin | 3:order,,,
12,0.0.7.2,9,3,CCSpriteEyeCry,animal/animal_panda.plist,animal_panda_eye_04.png,"[63, 51, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,5:angry,,,
13,0.0.7.3,9,3,CCSpriteEyeSmiile,animal/animal_panda.plist,animal_panda_eye_02.png,"[63, 51, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,4:like | 6:eat,,,
14,0.0.7.4,9,3,CCSpriteMouse,animal/animal_panda.plist,animal_panda_mouse_01.png,"[65, 19, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,2:walkin | 3:order | 6:eat,,,
