nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerParrot,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0] | [0, 3] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerParrot,1,walkout,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerParrot,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 2] | [0, 0] | [0, 2] | [0, 0] | [0, 2]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerParrot,2,walkin,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerParrot,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerParrot,3,order,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerParrot,4,like,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerParrot,5,angry,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerParrot,5,angry,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerParrot,6,eat,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerParrot,6,eat,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-51, 100] | [-34, 95] | [-51, 100] | [-34, 95] | [-51, 100]",1 | 1 | 1 | 1 | 1,"[-734, 859]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,30 | 120 | 30 | 120 | 30,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[22, 101]",1,"[-734, 859]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,0,1,0
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteArmAngryRight,5,angry,position,3,1,0,"[16, 100]",1,"[-721, 796]"
3,0.0.1,1,2,CCSprite,CCSpriteArmAngryRight,5,angry,rotation,2,1,0,0,1,0
3,0.0.1,1,2,CCSprite,CCSpriteArmAngryRight,5,angry,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[35, 104] | [41, 104] | [41, 104] | [41, 104] | [35, 104]",1 | 1 | 1 | 1 | 1,"[-750, 739]"
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-40 | -20 | 0 | -20 | -40,1 | 1 | 1 | 1 | 1,-80
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,4,like,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[19, 91] | [19, 93] | [19, 91]",1 | 1 | 1,"[-750, 739]"
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,4,like,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,-150 | -70 | -150,1 | 1 | 1,-80
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,4,like,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,6,eat,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 102] | [18, 102] | [18, 102] | [18, 102] | [18, 102]",1 | 1 | 1 | 1 | 1,"[-750, 739]"
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,6,eat,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-60 | -50 | -60 | -50 | -60,1 | 1 | 1 | 1 | 1,-80
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-14, 39] | [-8, 45] | [14, 40] | [-8, 45] | [-14, 39]",1 | 1 | 1 | 1 | 1,"[-752, 689]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,40 | 10 | -40 | 10 | 40,1 | 1 | 1 | 1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[18, 42]",1,"[-752, 689]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,3,order,rotation,2,1,0,0,1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,1,0,"[18, 42]",1,"[-752, 689]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,1,0,0,1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 42] | [19, 44] | [18, 42] | [19, 44] | [18, 42]",1 | 1 | 1 | 1 | 1,"[-752, 689]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,5,angry,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -10 | 0 | -10 | 0,1 | 1 | 1 | 1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[18, 42]",1,"[-752, 689]"
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,6,eat,rotation,2,1,0,0,1,0
5,0.0.3,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-24, 42] | [-4, 41] | [-24, 42] | [-4, 41] | [-24, 42]",1 | 1 | 1 | 1 | 1,"[-755, 827]"
6,0.0.4,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -50 | 0 | -50 | 0,1 | 1 | 1 | 1 | 1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteBodyOut,1,walkout,position,3,1,0,"[-2, 74]",1,"[-755, 805]"
