nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteArmRight,animal/animal_parrot.plist,animal_parrot_arm.png,"[-734, 859, 0]","[-734, 859]","[0, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout | 3:order,1:walkout | 3:order,1:walkout | 3:order,
3,0.0.1,1,2,CCSpriteArmAngryRight,animal/animal_parrot.plist,animal_parrot_arm_angry.png,"[-721, 796, 0]","[-721, 796]","[0, 1]","[1, 1, false, 0]",0,0,true,false,true,1,5:angry,5:angry,5:angry,
4,0.0.2,1,2,CCSpriteArmOutRight,animal/animal_parrot.plist,animal_parrot_arm.png,"[18, 102, 0]","[-750, 739]","[1, 1]","[1, 1, false, 0]",-60,-80,false,false,true,1,2:walkin | 4:like | 6:eat,2:walkin | 4:like | 6:eat,2:walkin | 4:like | 6:eat,
5,0.0.3,1,2,CCSpriteLegRight,animal/animal_parrot.plist,animal_parrot_leg.png,"[18, 42, 0]","[-752, 689]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
6,0.0.4,1,2,CCSpriteLegOutLeft,animal/animal_parrot.plist,animal_parrot_leg.png,"[-755, 827, 0]","[-755, 827]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
7,0.0.5,1,2,CCSpriteBodyOut,animal/animal_parrot.plist,animal_parrot_body.png,"[-755, 805, 0]","[-755, 805]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,1:walkout,1:walkout,,
8,0.0.6,1,2,CCSpriteBody,animal/animal_parrot.plist,animal_parrot_body.png,"[-7, 73, 0]","[-745, 720]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
9,0.0.7,1,2,CCSpriteLegOutRight,animal/animal_parrot.plist,animal_parrot_leg.png,"[-723, 811, 0]","[-723, 811]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
10,0.0.8,1,2,CCSpriteLegLeft,animal/animal_parrot.plist,animal_parrot_leg.png,"[-18, 40, 0]","[-800, 760]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
11,0.0.9,1,2,CCSpriteArmAngryLeft,animal/animal_parrot.plist,animal_parrot_arm_angry.png,"[-668, 809, 0]","[-668, 809]","[1, 1]","[1, 1, false, 0]",0,0,false,false,true,1,5:angry,5:angry,5:angry,
12,0.0.10,1,2,CCSpriteHeadOut,animal/animal_parrot.plist,animal_parrot_head_normal.png,"[-787, 772, 0]","[-787, 772]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
13,0.0.10.0,12,3,CCSpriteEye,animal/animal_parrot.plist,animal_parrot_eye_normal.png,"[62, 49, 0]","[62, 49]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
14,0.0.10.1,12,3,CCSpriteMouse,animal/animal_parrot.plist,animal_parrot_mouth_normal.png,"[31, 37, 0]","[31, 37]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
15,0.0.11,1,2,CCSpriteHeadAngry,animal/animal_parrot.plist,animal_parrot_head_angry.png,"[-797, 849, 0]","[-797, 849]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,5:angry,5:angry,5:angry,
16,0.0.11.0,15,3,CCSpriteEyeAngry,animal/animal_parrot.plist,animal_parrot_eye_angry.png,"[-274.3497009277344, 13.862504959106445, 0]","[-274.3497009277344, 13.862504959106445]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
17,0.0.11.1,15,3,CCSpriteMouse,animal/animal_parrot.plist,animal_parrot_mouth_normal.png,"[-259, -113, 0]","[-259, -113]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 5:angry,2:walkin | 3:order | 5:angry,2:walkin | 3:order,
18,0.0.12,1,2,CCSpriteHead,animal/animal_parrot.plist,animal_parrot_head_normal.png,"[10, 84, 0]","[-757, 668]","[0.5, 0]","[1, 1, false, 0]",-20,0,false,false,true,1,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like | 6:eat,
19,0.0.12.0,18,3,CCSpriteEye,animal/animal_parrot.plist,animal_parrot_eye_normal.png,"[-392.10675048828125, 916.2512817382812, 0]","[-392.10675048828125, 916.2512817382812]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,2:walkin | 3:order,
20,0.0.12.1,18,3,CCSpriteEyeAngry,animal/animal_parrot.plist,animal_parrot_eye_angry.png,"[-448.4414978027344, 917.4393920898438, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,,,,,
21,0.0.12.2,18,3,CCSpriteEyeClose,animal/animal_parrot.plist,animal_parrot_eye_close.png,"[-407.0976257324219, 908.12158203125, 0]","[-407.0976257324219, 908.12158203125]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,3:order,3:order,,
22,0.0.12.3,18,3,CCSpriteEyeSmile,animal/animal_parrot.plist,animal_parrot_eye_smile.png,"[41, 49, 0]","[-702, 735]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,4:like | 6:eat,4:like | 6:eat,4:like | 6:eat,
23,0.0.12.4,18,3,CCSpriteMouse,animal/animal_parrot.plist,animal_parrot_mouth_normal.png,"[-392.9697265625, 925.3590087890625, 0]","[-392.9697265625, 925.3590087890625]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,2:walkin | 3:order,
24,0.0.12.5,18,3,CCSpriteMouseSmile,animal/animal_parrot.plist,animal_parrot_mouth_smile.png,"[-446.77655029296875, 923.827392578125, 0]","[-446.77655029296875, 923.827392578125]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,4:like,4:like,4:like,
25,0.0.12.6,18,3,CCSpriteMouseEat1,animal/animal_parrot.plist,animal_parrot_mouth_eat01.png,"[74, 39, 0]","[-663, 782]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,6:eat,6:eat,6:eat,
26,0.0.12.7,18,3,CCSpriteMouseEat1,animal/animal_parrot.plist,animal_parrot_mouth_eat02.png,"[74, 39, 0]","[-707, 819]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,false,1,6:eat,6:eat,6:eat,
27,0.0.13,1,2,CCSpriteArmLeft,animal/animal_parrot.plist,animal_parrot_arm.png,"[-723, 761, 0]","[-739, 758]","[1, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 6:eat,2:walkin | 3:order | 6:eat,2:walkin | 3:order | 6:eat,
28,0.0.14,1,2,CCSpriteArmOutLeft,animal/animal_parrot.plist,animal_parrot_arm.png,"[-32, 99, 0]","[-728, 800]","[0, 1]","[1, 1, false, 0]",50,110,true,false,true,1,1:walkout | 4:like | 6:eat,1:walkout | 4:like | 6:eat,1:walkout | 4:like | 6:eat,
29,0.0.15,1,2,CCSpriteEatEffect_0,animal/animal_parrot.plist,animal_parrot_effect_eat_01.png,"[63, 119, 0]","[-724, 815]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,6:eat,6:eat,,
30,0.0.16,1,2,CCSpriteEatEffect_1,animal/animal_parrot.plist,animal_parrot_effect_eat_02.png,"[63, 119, 0]","[-730, 776]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
31,0.0.17,1,2,CCSpriteEatEffect_2,animal/animal_parrot.plist,animal_parrot_effect_eat_03.png,"[63, 119, 0]","[-723, 800]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
32,0.0.18,1,2,CCSpriteEatEffect_3,animal/animal_parrot.plist,animal_parrot_effect_eat_04.png,"[63, 119, 0]","[-721, 771]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
33,0.0.19,1,2,CCSpriteEatEffect_4,animal/animal_parrot.plist,animal_parrot_effect_eat_05.png,"[63, 119, 0]","[-695, 785]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
