nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerPoodle,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 4] | [0, 0] | [0, 4] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,1,walkout,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerPoodle,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0] | [0, 3] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,2,walkin,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerPoodle,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,4,like,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerPoodle,5,angry,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,5,angry,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerPoodle,6,eat,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,6,eat,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerPoodle,7,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerPoodle,7,order,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-13, 41] | [3, 42] | [-13, 41] | [3, 42] | [-13, 41]",1 | 1 | 1 | 1 | 1,"[-657, 672]"
2,0.0.0,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -40 | 0 | -40 | 0,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegOutLeft,1,walkout,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegOutRight,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[15, 41] | [-11, 41] | [15, 41] | [-11, 41] | [15, 41]",1 | 1 | 1 | 1 | 1,"[-693, 600]"
3,0.0.1,1,2,CCSprite,CCSpriteLegOutRight,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 40 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegOutRight,1,walkout,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-21, 89] | [-18, 73] | [-21, 89] | [-18, 73] | [-21, 89]",1 | 1 | 1 | 1 | 1,"[-664, 659]"
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,30 | 110 | 30 | 110 | 30,1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmOutRight,1,walkout,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteEarOutLeft,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-32, 150] | [-20, 152] | [-32, 150] | [-20, 152] | [-32, 150]",1 | 1 | 1 | 1 | 1,"[-687, 661]"
5,0.0.3,1,2,CCSprite,CCSpriteEarOutLeft,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,20 | 60 | 20 | 60 | 20,1 | 1 | 1 | 1 | 1,20
5,0.0.3,1,2,CCSprite,CCSpriteEarOutLeft,1,walkout,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBodyOut,1,walkout,position,3,1,0,"[0, 59]",1,"[-594, 745]"
6,0.0.4,1,2,CCSprite,CCSpriteBodyOut,1,walkout,rotation,2,1,0,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteBodyOut,1,walkout,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteFaceOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-1, 76] | [-3, 76] | [-1, 76] | [-3, 76] | [-1, 76]",1 | 1 | 1 | 1 | 1,"[-664, 555]"
7,0.0.5,1,2,CCSprite,CCSpriteFaceOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 10 | 0 | 10 | 0,1 | 1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteFaceOut,1,walkout,visible,1,1,0,true,1,1
8,0.0.5.0,7,3,CCSprite,CCSpriteEarRIght,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[74, 78] | [69.59690856933594, 74.17733764648438] | [74, 78] | [69.59690856933594, 74.17733764648438] | [74, 78]",1 | 1 | 1 | 1 | 1,"[-325, 121]"
8,0.0.5.0,7,3,CCSprite,CCSpriteEarRIght,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-30 | -60 | -30 | -60 | -30,1 | 1 | 1 | 1 | 1,-30
8,0.0.5.0,7,3,CCSprite,CCSpriteEarRIght,1,walkout,visible,1,1,0,true,1,1
9,0.0.5.1,7,3,CCSprite,CCSpriteRibbon,1,walkout,position,3,1,0,"[70, 72]",1,"[61, 53]"
9,0.0.5.1,7,3,CCSprite,CCSpriteRibbon,1,walkout,rotation,2,1,0,0,1,0
9,0.0.5.1,7,3,CCSprite,CCSpriteRibbon,1,walkout,visible,1,1,0,true,1,1
10,0.0.5.2,7,3,CCSprite,CCSpriteEye,1,walkout,position,3,1,0,"[37, 46]",1,"[30, 35]"
10,0.0.5.2,7,3,CCSprite,CCSpriteEye,1,walkout,rotation,2,1,0,0,1,0
10,0.0.5.2,7,3,CCSprite,CCSpriteEye,1,walkout,visible,1,1,0,true,1,1
