nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegOutLeft,animal/animal_poodle.plist,animal_poodle_leg.png,"[-657, 672, 0]","[-657, 672]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
3,0.0.1,1,2,CCSpriteLegOutRight,animal/animal_poodle.plist,animal_poodle_leg.png,"[-693, 600, 0]","[-693, 600]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
4,0.0.2,1,2,CCSpriteArmOutRight,animal/animal_poodle.plist,animal_poodle_arm_normal.png,"[-664, 659, 0]","[-664, 659]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,1:walkout,1:walkout,1:walkout,
5,0.0.3,1,2,CCSpriteEarOutLeft,animal/animal_poodle.plist,animal_poodle_ear.png,"[-687, 661, 0]","[-687, 661]","[0.5, 1]","[1, 1, false, 0]",20,20,false,false,true,1,1:walkout,1:walkout,1:walkout,
6,0.0.4,1,2,CCSpriteBodyOut,animal/animal_poodle.plist,animal_poodle_body.png,"[-594, 745, 0]","[-594, 745]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
7,0.0.5,1,2,CCSpriteFaceOut,animal/animal_poodle.plist,animal_poodle_face.png,"[-664, 555, 0]","[-664, 555]","[0.5, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
8,0.0.5.0,7,3,CCSpriteEarRIght,animal/animal_poodle.plist,animal_poodle_ear.png,"[-325, 121, 0]","[-325, 121]","[0.5, 1]","[1, 1, false, 0]",-30,-30,false,false,true,1,1:walkout,1:walkout,1:walkout,
9,0.0.5.1,7,3,CCSpriteRibbon,animal/animal_poodle.plist,animal_poodle_ribbon.png,"[61, 53, 0]","[61, 53]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
10,0.0.5.2,7,3,CCSpriteEye,animal/animal_poodle.plist,animal_poodle_face_eye_normal.png,"[30, 35, 0]","[30, 35]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
11,0.0.5.3,7,3,CCSpriteMouseNormal,animal/animal_poodle.plist,animal_poodle_face_mouth_normal.png,"[27, 18, 0]","[27, 18]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
