nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerBody,1,walkout,position,3,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,"[0, 4] | [0, 0] | [0, 0] | [0, 4]",1 | 1 | 1 | 1,"[0, 4]"
1,0.0,0,1,CCLayer,CCLayerBody,2,walkin,position,3,1,0,"[0, 0]",1,"[0, 4]"
1,0.0,0,1,CCLayer,CCLayerBody,3,order,position,3,1,0,"[0, 0]",1,"[0, 4]"
1,0.0,0,1,CCLayer,CCLayerBody,4,like,position,3,6,0 | 0.1666666716337204 | 0.3333333432674408 | 0.36666667461395264 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -1] | [0, 20] | [0, 20] | [0, -1] | [0, 0]",1 | 1 | 1 | 1 | 1 | 1,"[0, 4]"
1,0.0,0,1,CCLayer,CCLayerBody,5,angry,position,3,1,0,"[0, 0]",1,"[0, 4]"
1,0.0,0,1,CCLayer,CCLayerBody,6,eat,position,3,1,0,"[0, 0]",1,"[0, 4]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,position,3,1,0,"[-18, 73]",1,"[-796, 841]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,40 | 10 | 40,1 | 1 | 1,-20
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,1,walkout,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,1,0,"[21, 77]",1,"[-796, 841]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,0 | -35 | 35 | 0,1 | 1 | 1 | 1,-20
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,2,walkin,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[19, 79]",1,"[-796, 841]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,-20,1,-20
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,4,like,position,3,1,0,"[16, 65]",1,"[-796, 841]"
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,4,like,rotation,2,6,0 | 0.1666666716337204 | 0.3333333432674408 | 0.36666667461395264 | 0.5 | 0.6666666865348816,-120 | -100 | -130 | -130 | -100 | -120,1 | 1 | 1 | 1 | 1 | 1,-20
2,0.0.0,1,2,CCSprite,CCSpriteArmRight,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteLegLeftFlip,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[-13, 31] | [5, 34] | [-13, 31]",1 | 1 | 1,"[-725, 770]"
3,0.0.1,1,2,CCSprite,CCSpriteLegLeftFlip,1,walkout,rotation,2,3,0 | 0.3333333432674408 | 0.6666666865348816,30 | -20 | 30,1 | 1 | 1,30
3,0.0.1,1,2,CCSprite,CCSpriteLegLeftFlip,1,walkout,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,"[11, 30] | [-7, 30] | [12, 27] | [11, 30]",1 | 1 | 1 | 1,"[-726, 827]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,0 | 30 | -30 | 0,1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[11, 30]",1,"[-726, 827]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,1,0,"[11, 30]",1,"[-726, 827]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,6,0 | 0.1666666716337204 | 0.3333333432674408 | 0.36666667461395264 | 0.5 | 0.6666666865348816,0 | -10 | 10 | 10 | -10 | 0,1 | 1 | 1 | 1 | 1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[11, 30]",1,"[-726, 827]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[11, 30]",1,"[-726, 827]"
4,0.0.2,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteBody,2,walkin,position,3,1,0,"[0, 52]",1,"[-760, 958]"
5,0.0.3,1,2,CCSprite,CCSpriteBody,2,walkin,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteBody,3,order,position,3,1,0,"[0, 52]",1,"[-760, 958]"
5,0.0.3,1,2,CCSprite,CCSpriteBody,3,order,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteBody,4,like,position,3,1,0,"[0, 52]",1,"[-760, 958]"
5,0.0.3,1,2,CCSprite,CCSpriteBody,4,like,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteBody,5,angry,position,3,1,0,"[0, 52]",1,"[-760, 958]"
5,0.0.3,1,2,CCSprite,CCSpriteBody,5,angry,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteBody,6,eat,position,3,1,0,"[0, 52]",1,"[-760, 958]"
5,0.0.3,1,2,CCSprite,CCSpriteBody,6,eat,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteBodyFlip,1,walkout,position,3,1,0,"[0, 52]",1,"[-777, 903]"
6,0.0.4,1,2,CCSprite,CCSpriteBodyFlip,1,walkout,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,"[-16, 30] | [2, 26] | [-17, 30] | [-16, 30]",1 | 1 | 1 | 1,"[-736, 877]"
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,0 | -20 | 30 | 0,1 | 1 | 1 | 1,0
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,3,order,position,3,1,0,"[-16, 30]",1,"[-736, 877]"
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,4,like,position,3,1,0,"[-16, 30]",1,"[-736, 877]"
