nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteArmRight,animal/animal_rabbit.plist,animal_rabbit_arm_0.png,"[-796, 841, 0]","[-796, 841]","[0.5, 1]","[1, 1, false, 0]",-20,-20,false,false,true,1,1:walkout | 2:walkin | 3:order | 4:like,1:walkout | 2:walkin | 3:order | 4:like,1:walkout | 2:walkin | 3:order | 4:like,
3,0.0.1,1,2,CCSpriteLegLeftFlip,animal/animal_rabbit.plist,animal_rabbit_leg.png,"[-725, 770, 0]","[-725, 770]","[0.5, 1]","[1, 1, false, 0]",30,30,true,false,true,1,1:walkout,1:walkout,1:walkout,
4,0.0.2,1,2,CCSpriteLegRight,animal/animal_rabbit.plist,animal_rabbit_leg.png,"[11, 30, 0]","[-726, 827]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 4:like,
5,0.0.3,1,2,CCSpriteBody,animal/animal_rabbit.plist,animal_rabbit_body.png,"[0, 52, 0]","[-760, 958]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,,
6,0.0.4,1,2,CCSpriteBodyFlip,animal/animal_rabbit.plist,animal_rabbit_body.png,"[-777, 903, 0]","[-777, 903]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,1:walkout,1:walkout,,
7,0.0.5,1,2,CCSpriteLegLeft,animal/animal_rabbit.plist,animal_rabbit_leg.png,"[-16, 30, 0]","[-736, 877]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 4:like,
8,0.0.6,1,2,CCSpriteArmLeft,animal/animal_rabbit.plist,animal_rabbit_arm_0.png,"[-698, 784, 0]","[-698, 784]","[0.5, 1]","[1, 1, false, 0]",20,20,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,2:walkin | 3:order,
9,0.0.7,1,2,CCSpriteArmLeft2,animal/animal_rabbit.plist,animal_rabbit_arm_0.png,"[-762, 885, 0]","[-762, 885]","[0.5, 1]","[1, 1, false, 0]",-50,-50,true,false,true,1,1:walkout | 4:like,1:walkout | 4:like,1:walkout | 4:like,
10,0.0.8,1,2,CCSpriteLegRightFlip,animal/animal_rabbit.plist,animal_rabbit_leg.png,"[-762, 854, 0]","[-762, 854]","[0.5, 1]","[1, 1, false, 0]",-30,-30,true,false,true,1,1:walkout,1:walkout,1:walkout,
12,0.1.0,11,2,CCSpriteTearRight0,animal/animal_rabbit.plist,animal_rabbit_tear_0.png,"[-793, 849, 0]","[-793, 849]","[0, 1]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
13,0.1.1,11,2,CCSpriteTearRight1,animal/animal_rabbit.plist,animal_rabbit_tear_2.png,"[-721, 792, 0]","[-721, 792]","[0, 1]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
14,0.1.2,11,2,CCSpriteTearRight2,animal/animal_rabbit.plist,animal_rabbit_tear_2.png,"[-739, 816, 0]","[-739, 816]","[0, 1]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
15,0.1.3,11,2,CCSpriteTearLeft0,animal/animal_rabbit.plist,animal_rabbit_tear_0.png,"[-690, 836, 0]","[-690, 836]","[1, 1]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
