nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteTail,animal/animal_sister.plist,animal_sister_tail.png,"[-25, 29, 0]","[-324, -12]","[1, 0.5]","[1, 1, false, 0]",-20,-20,false,false,,,,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like,
3,0.0.1,1,2,CCSpriteLeg,animal/animal_sister.plist,animal_sister_leg.png,"[9, 31, 0]","[-301, -3]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order,
4,0.0.2,1,2,CCSpriteLeg,animal/animal_sister.plist,animal_sister_leg.png,"[-18, 30, 0]","[-321, -17]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order,
5,0.0.3,1,2,CCSpriteArm,animal/animal_sister.plist,animal_sister_arm_normal.png,"[-317, 49, 0]","[-317, 49]","[0.5, 1]","[1, 1, false, 0]",-30,-30,false,false,,,,2:walkin | 3:order | 4:like,2:walkin | 3:order | 4:like,
6,0.0.4,1,2,CCSpriteBody,animal/animal_sister.plist,animal_sister_body.png,"[-6, 48, 0]","[-305, 74]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin | 3:order | 4:like | 6:eat,3:order,
7,0.0.5,1,2,CCSpriteHead,animal/animal_sister.plist,animal_sister_head.png,"[-12, 62, 0]","[-319, 62]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,,,,2:walkin | 3:order | 4:like | 6:eat,2:walkin | 3:order | 4:like,
8,0.0.5.0,7,3,CCSpriteEyeNormal,animal/animal_sister.plist,animal_sister_face_normal.png,"[-324, 10, 0]","[-324, 10]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,2:walkin | 3:order,,
9,0.0.5.1,7,3,CCSpriteEyeClosed,animal/animal_sister.plist,animal_sister_face_close_eye.png,"[-257, -95, 0]","[-257, -95]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,false,0,3:order,3:order,3:order,
10,0.0.5.2,7,3,CCSpriteEat0,animal/animal_sister.plist,animal_sister_face_eat01.png,"[66, 39, 0]","[-301, 46]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,6:eat,6:eat,,
11,0.0.5.3,7,3,CCSpriteEat1,animal/animal_sister.plist,animal_sister_face_eat02.png,"[66, 39, 0]","[-302, -28]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,0,6:eat,6:eat,,
