nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerBody,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 18] | [0, 13] | [0, 18] | [0, 13] | [0, 18]",1 | 1 | 1 | 1 | 1,"[19, 0]"
1,0.0,0,1,CCLayer,CCLayerBody,3,order,position,3,1,0,"[19, 0]",1,"[19, 0]"
1,0.0,0,1,CCLayer,CCLayerBody,3,order,rotation,2,1,0,0,1,0
1,0.0,0,1,CCLayer,CCLayerBody,4,like,position,3,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,"[19, 0] | [19, 0] | [19, 11] | [19, 0] | [19, 0] | [19, 11] | [19, 0]",1 | 1 | 1 | 1 | 1 | 1 | 1,"[19, 0]"
1,0.0,0,1,CCLayer,CCLayerBody,4,like,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteTailOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[22, 30] | [12, 47] | [22, 30] | [12, 47] | [22, 30]",1 | 1 | 1 | 1 | 1,"[-760, 840]"
2,0.0.0,1,2,CCSprite,CCSpriteTailOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 40 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteTailOut,1,walkout,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-24, 36] | [-14, 40] | [-24, 36] | [-24, 36] | [-24, 36]",1 | 1 | 1 | 1 | 1,"[-654, 658]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -30 | 0 | 10 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,2,walkin,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteTail,3,order,position,3,1,0,"[-24, 36]",1,"[-654, 658]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,3,order,rotation,2,1,0,0,1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,3,order,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteTail,4,like,position,3,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,"[-24, 36] | [-24, 36] | [-24, 36] | [-24, 36] | [-24, 36] | [-24, 36] | [-24, 36]",1 | 1 | 1 | 1 | 1 | 1 | 1,"[-654, 658]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,4,like,rotation,2,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,-10 | -25 | -5 | -10 | -25 | -5 | -10,1 | 1 | 1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,4,like,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteTail,5,angry,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-24, 36] | [-22, 36] | [-24, 36] | [-22, 36] | [-24, 36]",1 | 1 | 1 | 1 | 1,"[-654, 658]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,5,angry,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -10 | 0 | -10 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,5,angry,visible,1,1,0,true,1,1
3,0.0.1,1,2,CCSprite,CCSpriteTail,6,eat,position,3,1,0,"[-24, 36]",1,"[-654, 658]"
3,0.0.1,1,2,CCSprite,CCSpriteTail,6,eat,rotation,2,1,0,0,1,0
3,0.0.1,1,2,CCSprite,CCSpriteTail,6,eat,visible,1,1,0,true,1,1
4,0.0.2,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-5, 72] | [-11, 83] | [-5, 72] | [-11, 83] | [-5, 72]",1 | 1 | 1 | 1 | 1,"[-655, 865]"
4,0.0.2,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,70 | 30 | 70 | 30 | 70,1 | 1 | 1 | 1 | 1,80
4,0.0.2,1,2,CCSprite,CCSpriteArmRightOut,1,walkout,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[18, 95] | [20, 95] | [18, 95] | [12, 92] | [18, 95]",1 | 1 | 1 | 1 | 1,"[-673, 846]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-20 | 10 | -10 | -40 | -20,1 | 1 | 1 | 1 | 1,-20
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,position,3,1,0,"[18, 95]",1,"[-673, 846]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,rotation,2,1,0,-20,1,-20
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,1
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,4,like,position,3,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,"[11, 94] | [15, 94] | [1, 77] | [11, 94] | [15, 94] | [1, 77] | [11, 94]",1 | 1 | 1 | 1 | 1 | 1 | 1,"[-673, 846]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,4,like,rotation,2,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,-30 | -15 | -120 | -30 | -15 | -120 | -30,1 | 1 | 1 | 1 | 1 | 1 | 1,-20
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,4,like,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[9, 44] | [9, 44] | [9, 44] | [-4, 42] | [9, 44]",1 | 1 | 1 | 1 | 1,"[-645, 759]"
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -30 | 0 | 40 | 0,1 | 1 | 1 | 1 | 1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,3,order,position,3,1,0,"[9, 44]",1,"[-645, 759]"
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,3,order,rotation,2,1,0,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,"[9, 46] | [9, 46] | [7, 47] | [9, 46] | [9, 46] | [7, 47] | [9, 46]",1 | 1 | 1 | 1 | 1 | 1 | 1,"[-645, 759]"
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,7,0 | 0.10000000149011612 | 0.20000000298023224 | 0.3333333432674408 | 0.4333333373069763 | 0.5333333611488342 | 0.6666666865348816,0 | 0 | -30 | 0 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1 | 1 | 1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,5,angry,position,3,1,0,"[9, 46]",1,"[-645, 759]"
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,5,angry,rotation,2,1,0,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,1
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,6,eat,position,3,1,0,"[9, 46]",1,"[-645, 759]"
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,6,eat,rotation,2,1,0,0,1,0
6,0.0.4,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,1
7,0.0.5,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-19, 44] | [-15, 45] | [-19, 44] | [-9, 39] | [-19, 44]",1 | 1 | 1 | 1 | 1,"[-666, 734]"
