nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteTailOut,animal/animal_squirrel.plist,animal_squirrel_tail.png,"[-760, 840, 0]","[-760, 840]","[0, 0]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
3,0.0.1,1,2,CCSpriteTail,animal/animal_squirrel.plist,animal_squirrel_tail.png,"[-24, 36, 0]","[-654, 658]","[1, 0]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
4,0.0.2,1,2,CCSpriteArmRightOut,animal/animal_squirrel.plist,animal_squirrel_arm_02.png,"[-655, 865, 0]","[-655, 865]","[0.5, 1]","[1, 1, false, 0]",80,80,true,false,true,1,1:walkout,1:walkout,1:walkout,
5,0.0.3,1,2,CCSpriteArmRight,animal/animal_squirrel.plist,animal_squirrel_arm_02.png,"[-673, 846, 0]","[-673, 846]","[0.5, 1]","[1, 1, false, 0]",-20,-20,false,false,true,1,2:walkin | 3:order | 4:like,2:walkin | 3:order | 4:like,2:walkin | 3:order | 4:like,
6,0.0.4,1,2,CCSpriteLegRight,animal/animal_squirrel.plist,animal_squirrel_leg.png,"[9, 46, 0]","[-645, 759]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
7,0.0.5,1,2,CCSpriteLegLeft,animal/animal_squirrel.plist,animal_squirrel_leg.png,"[-19, 44, 0]","[-666, 734]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order | 5:angry | 6:eat,2:walkin | 3:order | 6:eat,
8,0.0.6,1,2,CCSpriteLegLeftOut,animal/animal_squirrel.plist,animal_squirrel_leg.png,"[-670, 892, 0]","[-670, 892]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout | 4:like,1:walkout | 4:like,1:walkout | 4:like,
9,0.0.7,1,2,CCSpriteLegRightOut,animal/animal_squirrel.plist,animal_squirrel_leg.png,"[-650, 891, 0]","[-650, 891]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
10,0.0.8,1,2,CCSpriteBodyOut,animal/animal_squirrel.plist,animal_squirrel_body.png,"[-677, 906, 0]","[-677, 906]","[0.5, 0.5]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout,1:walkout,1:walkout,
11,0.0.9,1,2,CCSpriteBody,animal/animal_squirrel.plist,animal_squirrel_body.png,"[-6, 61, 0]","[-709, 752]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 3:order | 4:like | 5:angry | 6:eat,
12,0.0.10,1,2,CCSpriteFaceOut,animal/animal_squirrel.plist,animal_squirrel_face_01.png,"[-716, 861, 0]","[-716, 861]","[0.5, 0]","[1, 1, false, 0]",,,true,false,true,1,1:walkout,1:walkout,,
13,0.0.10.0,12,3,CCSpriteMouse,animal/animal_squirrel.plist,animal_squirrel_mouse_01.png,"[31, 14, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,,,,,
14,0.0.10.1,12,3,CCSpriteEye,animal/animal_squirrel.plist,animal_squirrel_eye_01.png,"[33, 37, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,,,,,
15,0.0.11,1,2,CCSpriteFaceEat,animal/animal_squirrel.plist,animal_squirrel_face_eat.png,"[-6, 76, 0]","[-669, 800]","[0.5, 0]","[1, 1, false, 0]",5,0,false,false,true,1,6:eat,6:eat,6:eat,
16,0.0.11.0,15,3,CCSpriteEyeEat,animal/animal_squirrel.plist,animal_squirrel_eye_04.png,"[49, 38, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,,,,,
17,0.0.11.1,15,3,CCSpriteMouseEat,animal/animal_squirrel.plist,animal_squirrel_mouse_03.png,"[49, 16, 0]","[51, 16]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,6:eat,6:eat,,
18,0.0.12,1,2,CCSpriteFaceEat2,animal/animal_squirrel.plist,animal_squirrel_face_01.png,"[-6, 76, 0]","[-754, 880]","[0.5, 0]","[1, 1, false, 0]",5,0,false,false,false,1,6:eat,6:eat,6:eat,
19,0.0.12.0,18,3,CCSpriteEyeEat,animal/animal_squirrel.plist,animal_squirrel_eye_04.png,"[49, 38, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,,,,,
20,0.0.12.1,18,3,CCSpriteMouseEatBig,animal/animal_squirrel.plist,animal_squirrel_mouse_02.png,"[49, 16, 0]","[51, 16]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
21,0.0.13,1,2,CCSpriteFace,animal/animal_squirrel.plist,animal_squirrel_face_01.png,"[-721, 774, 0]","[-721, 774]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,2:walkin | 3:order | 4:like,2:walkin | 3:order | 4:like,2:walkin | 3:order | 4:like,
22,0.0.13.0,21,3,CCSpriteEye,animal/animal_squirrel.plist,animal_squirrel_eye_01.png,"[-637.5, 668, 0]","[-637.5, 668]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,,
23,0.0.13.1,21,3,CCSpriteClose_0,animal/animal_squirrel.plist,animal_squirrel_eye_02.png,"[-629, 748, 0]","[-629, 748]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,3:order,3:order,,
24,0.0.13.2,21,3,CCSpriteClose_1,animal/animal_squirrel.plist,animal_squirrel_eye_03.png,"[-619, 826, 0]","[-619, 826]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,3:order | 4:like,3:order | 4:like,,
25,0.0.13.3,21,3,CCSpriteMouse,animal/animal_squirrel.plist,animal_squirrel_mouse_01.png,"[-642.5, 626.5, 0]","[-642.5, 626.5]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,,
26,0.0.13.4,21,3,CCSpriteMouse2,animal/animal_squirrel.plist,animal_squirrel_mouse_02.png,"[-638, 762, 0]","[-638, 762]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,4:like,4:like,4:like,
27,0.0.14,1,2,CCSpriteArmLeft,animal/animal_squirrel.plist,animal_squirrel_arm_01.png,"[-750, 872, 0]","[-750, 872]","[0.5, 1]","[1, 1, false, 0]",10,10,false,false,true,1,2:walkin | 3:order,2:walkin | 3:order,2:walkin | 3:order,
28,0.0.15,1,2,CCSpriteArmLeftOut,animal/animal_squirrel.plist,animal_squirrel_arm_01.png,"[-765, 862, 0]","[-765, 862]","[0.5, 1]","[1, 1, false, 0]",0,0,true,false,true,1,1:walkout | 4:like,1:walkout | 4:like,1:walkout | 4:like,
29,0.0.16,1,2,CCSpriteArmAngryRight,animal/animal_squirrel.plist,animal_squirrel_arm_04.png,"[41, 80, 0]","[-665, 785]","[1, 0.5]","[1, 1, false, 0]",-25,0,false,false,true,1,5:angry | 6:eat,5:angry | 6:eat,6:eat,
30,0.0.17,1,2,CCSpriteArmAngryLeft,animal/animal_squirrel.plist,animal_squirrel_arm_03.png,"[-43, 76, 0]","[-718, 828]","[0, 0.5]","[1, 1, false, 0]",-10,0,false,false,true,1,5:angry | 6:eat,5:angry | 6:eat,6:eat,
31,0.0.18,1,2,CCSpriteFaceAngry,animal/animal_squirrel.plist,animal_squirrel_face_angry.png,"[-721, 836, 0]","[-721, 836]","[0.5, 0]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
32,0.1,0,1,CCSpriteAngryEffectLeft_0,animal/animal_squirrel.plist,animal_squirrel_angry_0001.png,"[-717, 854, 0]","[-717, 854]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
33,0.2,0,1,CCSpriteAngryEffectLeft_1,animal/animal_squirrel.plist,animal_squirrel_angry_0002.png,"[-704, 857, 0]","[-704, 857]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
34,0.3,0,1,CCSpriteAngryEffectLeft_2,animal/animal_squirrel.plist,animal_squirrel_angry_0003.png,"[-743, 771, 0]","[-743, 771]","[0.5, 0.5]","[1, 1, false, 0]",,,true,false,true,1,5:angry,5:angry,,
35,0.4,0,1,CCSpriteAngryEffectRight_0,animal/animal_squirrel.plist,animal_squirrel_angry_0001.png,"[-698, 830, 0]","[-698, 830]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
36,0.5,0,1,CCSpriteAngryEffectRight_1,animal/animal_squirrel.plist,animal_squirrel_angry_0002.png,"[-687, 890, 0]","[-687, 890]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
37,0.6,0,1,CCSpriteAngryEffectRight_2,animal/animal_squirrel.plist,animal_squirrel_angry_0003.png,"[-699, 812, 0]","[-699, 812]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:angry,5:angry,,
38,0.7,0,1,CCSpriteSpitRight0,animal/animal_squirrel.plist,animal_squirrel_eat_effect0001.png,"[47, 87, 0]","[-694, 807]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,6:eat,6:eat,,
39,0.8,0,1,CCSpriteSpitRight1,animal/animal_squirrel.plist,animal_squirrel_eat_effect0002.png,"[40, 91, 0]","[-667, 822]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
40,0.9,0,1,CCSpriteSpitLeft0,animal/animal_squirrel.plist,animal_squirrel_eat_effect0001.png,"[-10, 92, 0]","[-732, 817]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,6:eat,6:eat,,
41,0.10,0,1,CCSpriteSpitLeft1,animal/animal_squirrel.plist,animal_squirrel_eat_effect0002.png,"[10, 91, 0]","[-744, 797]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,6:eat,6:eat,,
