nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayer,1,walkout,position,3,3,0 | 0.3333333432674408 | 0.6666666865348816,"[0, 0] | [0, 3] | [0, 0]",1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, -2] | [0, 0] | [0, -2] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,3,order,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayer,4,like,position,3,1,0,"[0, 0]",1,"[0, 0]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[16, 51] | [15, 48] | [16, 51] | [-13, 49] | [16, 51]",1 | 1 | 1 | 1 | 1,"[16, 51]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | -30 | 0 | 30 | 0,1 | 1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,2,walkin,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,3,order,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,position,3,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,"[15, 52] | [16, 51] | [16, 51] | [15, 52]",1 | 1 | 1 | 1,"[16, 51]"
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,rotation,2,4,0 | 0.1666666716337204 | 0.5 | 0.6666666865348816,-40 | 0 | 0 | -40,1 | 1 | 1 | 1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,4,like,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,5,angry,visible,1,1,0,true,1,0
2,0.0.0,1,2,CCSprite,CCSpriteLegLeft,6,eat,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[-22, 50] | [-23, 51] | [-22, 50] | [-3, 45] | [-22, 50]",1 | 1 | 1 | 1 | 1,"[-22, 50]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,0 | 25 | 0 | -30 | 0,1 | 1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,2,walkin,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,3,order,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,position,3,4,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5,"[-22, 50] | [-22, 50] | [-22, 50] | [-22, 50]",1 | 1 | 1 | 1,"[-22, 50]"
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,rotation,2,4,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5,0 | 0 | 30 | 0,1 | 1 | 1 | 1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,4,like,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,5,angry,visible,1,1,0,true,1,0
3,0.0.1,1,2,CCSprite,CCSpriteLegRight,6,eat,visible,1,1,0,true,1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmRight2,4,like,position,3,2,0 | 0.1666666716337204,"[15, 93] | [10, 92]",1 | 1,"[15, 93]"
4,0.0.2,1,2,CCSprite,CCSpriteArmRight2,4,like,rotation,2,2,0 | 0.1666666716337204,0 | 50,1 | 1,0
4,0.0.2,1,2,CCSprite,CCSpriteArmRight2,4,like,visible,1,2,0 | 0.1666666716337204,true | true,1 | 1,0
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[20, 107] | [20, 107] | [20, 107] | [20, 107] | [20, 107]",1 | 1 | 1 | 1 | 1,"[20, 107]"
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,rotation,2,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,-30 | 10 | -30 | -45 | -30,1 | 1 | 1 | 1 | 1,-30
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,2,walkin,visible,1,1,0,true,1,0
5,0.0.3,1,2,CCSprite,CCSpriteArmRight,3,order,visible,1,1,0,true,1,0
