nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteLegLeft,animal/animal_tiger.plist,animal_tiger_leg.png,"[16, 51, 0]","[16, 51]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 4:like,2:walkin | 4:like,
3,0.0.1,1,2,CCSpriteLegRight,animal/animal_tiger.plist,animal_tiger_leg.png,"[-22, 50, 0]","[-22, 50]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,2:walkin | 4:like,2:walkin | 4:like,
4,0.0.2,1,2,CCSpriteArmRight2,animal/animal_tiger.plist,animal_tiger_arm_02.png,"[15, 93, 0]","[15, 93]","[0, 0]","[1, 1, false, 0]",0,0,false,false,false,0,4:like,4:like,4:like,
5,0.0.3,1,2,CCSpriteArmRight,animal/animal_tiger.plist,animal_tiger_arm_01.png,"[20, 107, 0]","[20, 107]","[0.5, 1]","[1, 1, false, 0]",-30,-30,true,false,false,0,2:walkin | 3:order | 4:like,2:walkin | 4:like,2:walkin | 4:like,
6,0.0.4,1,2,CCSpriteBody,animal/animal_tiger.plist,animal_tiger_body.png,"[-5, 68, 0]","[-5, 68]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,4:like,4:like,
7,0.0.5,1,2,CCSpriteArmLeft2,animal/animal_tiger.plist,animal_tiger_arm_02.png,"[-24, 86, 0]","[-24, 86]","[1, 0]","[1, 1, false, 0]",0,0,true,false,false,0,4:like,4:like,4:like,
8,0.0.6,1,2,CCSpriteArmLeft,animal/animal_tiger.plist,animal_tiger_arm_01.png,"[-30, 104, 0]","[-30, 104]","[0.5, 1]","[1, 1, false, 0]",30,30,false,false,false,0,2:walkin | 3:order | 4:like,2:walkin | 4:like,2:walkin | 4:like,
9,0.0.7,1,2,CCSpriteArm,animal/animal_tiger.plist,animal_tiger_arm_03.png,"[0, 77, 0]","[0, 77]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,false,0,5:angry,5:angry,5:angry,
10,0.0.8,1,2,CCSpriteFace,animal/animal_tiger.plist,animal_tiger_face_01.png,"[-4.200000286102295, 74.80000305175781, 0]","[-3, 76]","[0.5, 0]","[1, 1, false, 0]",3.000000476837158,0,false,false,,,,2:walkin | 4:like | 5:angry | 6:eat,4:like | 5:angry | 6:eat,
11,0.0.8.0,10,3,CCSpriteEye,animal/animal_tiger.plist,animal_tiger_eye_04.png,"[60, 67, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,,,3:order | 4:like | 5:angry | 6:eat
12,0.0.8.1,10,3,CCSpriteMouse,animal/animal_tiger.plist,animal_tiger_mouse_04.png,"[61, 38, 0]","[61, 46]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,0,2:walkin | 3:order | 4:like | 5:angry | 6:eat,4:like | 5:angry | 6:eat,6:eat,4:like | 5:angry | 6:eat
13,0.0.9,1,2,CCSpriteArmLeft3,animal/animal_tiger.plist,animal_tiger_arm_04.png,"[-66.80000305175781, 104.4000015258789, 0]","[-65, 109]","[0, 1]","[1, 1, false, 0]",-12.000001907348633,0,false,false,true,0,6:eat,6:eat,6:eat,
14,0.0.10,1,2,CCSpriteArmRight3,animal/animal_tiger.plist,animal_tiger_arm_05.png,"[60.60000228881836, 67.4000015258789, 0]","[54, 56]","[1, 0]","[1, 1, false, 0]",-30.000003814697266,0,false,false,true,0,6:eat,6:eat,6:eat,
15,0.0.11,1,2,CCSpriteEffAngry,animal/animal_tiger.plist,animal_tiger_angry_0003.png,"[68, 213, 0]",,"[0.5, 0.5]","[2, 2, false, 0]",,,false,false,false,0,5:angry,,,5:angry
16,0.0.12,1,2,CCSpriteEffEat1,animal/animal_tiger.plist,animal_tiger_eat_effect0002.png,"[-16, 108, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,6:eat,,,6:eat
17,0.0.13,1,2,CCSpriteEffEat2,animal/animal_tiger.plist,animal_tiger_eat_effect0002.png,"[29, 109, 0]",,"[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,0,6:eat,,,6:eat
