nodeId,path,parentId,depth,baseClass,displayName,sequenceId,sequenceName,property,keyframeType,keyframeCount,times,values,easingTypes,baseValue
1,0.0,0,1,CCLayer,CCLayerDoggy,1,idle,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,2,start,position,3,11,0 | 0.3333333432674408 | 0.5 | 0.6666666865348816 | 0.8333333134651184 | 1 | 1.1666666269302368 | 1.3333333730697632 | 1.5 | 1.6666666269302368 | 2,"[0, -400] | [0, 0] | [0, 10] | [0, 0] | [0, 10] | [0, 0] | [0, 10] | [0, 0] | [0, 10] | [0, 0] | [0, -700]",1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,2,start,visible,1,1,0,true,1,1
1,0.0,0,1,CCLayer,CCLayerDoggy,4,fail,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,5,perfect,position,3,5,0 | 0.1666666716337204 | 0.3333333432674408 | 0.5 | 0.6666666865348816,"[0, 0] | [0, 0] | [0, 25] | [0, 0] | [0, 0]",1 | 1 | 1 | 1 | 1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,7,map_hello,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,8,map_enter,position,3,1,0,"[0, 0]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,10,ready,position,3,1,0,"[0, -330]",1,"[0, 0]"
1,0.0,0,1,CCLayer,CCLayerDoggy,10,ready,visible,1,1,0,true,1,1
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,1,idle,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,2,start,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,3,goal,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,4,fail,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,5,perfect,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,7,map_hello,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,8,map_enter,position,3,1,0,"[50, 170]",1,"[1124, 237]"
2,0.0.0,1,2,CCSprite,CCSpriteHatBack2,10,ready,position,3,1,0,"[50, 170]",1,"[1124, 237]"
3,0.0.1,1,2,CCSprite,CCSpriteHatBack,1,idle,position,3,1,0,"[6, 147]",1,"[1124, 237]"
3,0.0.1,1,2,CCSprite,CCSpriteHatBack,2,start,position,3,1,0,"[6, 147]",1,"[1124, 237]"
3,0.0.1,1,2,CCSprite,CCSpriteHatBack,3,goal,position,3,1,0,"[6, 147]",1,"[1124, 237]"
3,0.0.1,1,2,CCSprite,CCSpriteHatBack,4,fail,position,3,1,0,"[6, 147]",1,"[1124, 237]"
3,0.0.1,1,2,CCSprite,CCSpriteHatBack,5,perfect,position,3,1,0,"[6, 147]",1,"[1124, 237]"
