nodeId,path,parentId,depth,displayName,atlasPlist,frameName,position,positionBase,anchorPoint,scale,rotation,rotationBase,flipX,flipY,visible,visibleBase,visibleSequences,positionSequences,rotationSequences,displayFrameSequences
2,0.0.0,1,2,CCSpriteHatBack2,animal/doggy.plist,doggy_hat_24_1.png,"[50, 170, 0]","[1124, 237]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter | 10:ready,,
3,0.0.1,1,2,CCSpriteHatBack,animal/doggy.plist,doggy_cafe_19.png,"[6, 147, 0]","[1124, 237]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter | 10:ready,,
4,0.0.2,1,2,CCSpriteCafeScarf,animal/doggy.plist,doggy_cafe_09.png,"[4, 97, 0]","[4, 97]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,5:perfect | 6:title,,
5,0.0.3,1,2,CCSpriteCafeCloth,animal/doggy.plist,doggy_cafe_10.png,"[1, 110, 0]","[1, 110]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,5:perfect | 6:title,,
6,0.0.4,1,2,CCSpriteTail,animal/doggy2.plist,doggy_tail.png,"[29, 44, 0]","[23, 66]","[0, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:start | 10:ready,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 6:title | 7:map_hello | 8:map_enter | 10:ready,2:start | 3:goal | 5:perfect,
7,0.0.5,1,2,CCSpriteLegRight,animal/doggy.plist,doggy_leg_18.png,"[-19, 61, 0]","[-23, 64]","[0.5, 1]","[1, 1, false, 0]",0,50,false,false,true,1,2:start | 10:ready,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 6:title | 7:map_hello | 8:map_enter,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,
8,0.0.6,1,2,CCSpriteLegOutLeft,animal/doggy.plist,doggy_leg_01.png,"[2195, 107, 0]","[2195, 107]","[0.5, 1]","[1, 1, false, 0]",-50,-50,true,false,true,1,2:start | 10:ready,2:start | 10:ready,2:start | 10:ready,
9,0.0.7,1,2,CCSpriteLegLeft,animal/doggy.plist,doggy_leg_18.png,"[22, 61, 0]","[1058, 72]","[0.5, 1]","[1, 1, false, 0]",0,0,false,false,,,,1:idle | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,5:perfect,
10,0.0.8,1,2,CCSpriteScarpBack,animal/doggy2.plist,doggy_scarp_15.png,"[1, 99, 0]","[1, 99]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,5:perfect | 6:title,,
11,0.0.9,1,2,CCSpriteArmLeft,animal/doggy.plist,doggy_arm_left_18.png,"[-19, 96, 0]","[980, 261]","[0.5, 1]","[1, 1, false, 0]",110,30,false,false,true,1,7:map_hello | 8:map_enter,1:idle | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,
12,0.0.9.0,11,3,CCSpriteHand,animal/doggy2.plist,doggy_best_hand.png,"[1890.98876953125, 1182.1539306640625, 0]","[1890.98876953125, 1182.1539306640625]","[0.5, 0.5]","[1, 1, false, 0]",-70,-70,false,false,,,,3:goal,3:goal,
13,0.0.10,1,2,CCSpriteBodyBack,animal/doggy.plist,doggy_body_18_1.png,"[55, 119, 0]","[55, 119]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,1:idle | 2:start | 3:goal | 4:fail | 5:perfect | 6:title | 7:map_hello | 8:map_enter | 10:ready,,
14,0.0.11,1,2,CCSpriteBody,animal/doggy.plist,doggy_body_18.png,"[2, 77, 0]","[1114, 229]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,1:idle | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,,
15,0.0.12,1,2,CCSpriteApron,animal/doggy.plist,doggy_apron_15.png,"[2, 68, 0]","[1040, 134]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,1:idle | 3:goal | 4:fail | 5:perfect | 7:map_hello | 8:map_enter,,
16,0.0.13,1,2,CCSpriteArmRightOut,animal/doggy.plist,doggy_arm.png,"[2211, 194, 0]","[2211, 194]","[0.5, 1]","[1, 1, false, 0]",-130,,true,false,true,1,8:map_enter,8:map_enter,,
17,0.0.14,1,2,CCSpriteArmRight,animal/doggy.plist,doggy_arm_18.png,"[29, 128, 0]","[1097, -28]","[0.5, 1]","[1, 1, false, 0]",-25,-25,false,false,true,1,7:map_hello,1:idle | 3:goal | 4:fail | 5:perfect | 7:map_hello,3:goal | 4:fail | 5:perfect,
18,0.0.14.0,17,3,CCSprite,animal/doggy2.plist,doggy_best_hand.png,"[1917.8560791015625, -814.9886474609375, 0]","[1917.8560791015625, -814.9886474609375]","[0.5, 0.5]","[1, 1, false, 0]",100,100,true,false,,,,3:goal,3:goal,
19,0.0.15,1,2,CCSpriteScarp,animal/doggy2.plist,doggy_scarp_09.png,"[10, 107, 0]","[10, 107]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,,,5:perfect | 6:title,,
20,0.0.16,1,2,CCSpriteFace,animal/doggy2.plist,doggy_face.png,"[5, 107, 0]","[5, 107]","[0.5, 0]","[1, 1, false, 0]",0,0,false,false,true,1,2:start | 10:ready,1:idle | 3:goal | 4:fail | 5:perfect | 6:title | 7:map_hello | 8:map_enter,2:start | 10:ready,
21,0.0.16.0,20,3,CCSpriteMouseCry_0,animal/doggy2.plist,doggy_mouse_cry_01.png,"[2184, 19, 0]","[2184, 19]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
22,0.0.16.1,20,3,CCSpriteMouseCry_1,animal/doggy2.plist,doggy_mouse_cry_02.png,"[2182, 25, 0]","[2182, 25]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
23,0.0.16.2,20,3,CCSpriteEyeCry_0,animal/doggy2.plist,doggy_eye_cry_01.png,"[2196, 86, 0]","[2196, 86]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
24,0.0.16.3,20,3,CCSpriteEyeCry_1,animal/doggy2.plist,doggy_eye_cry_02.png,"[2662, 162, 0]","[2662, 162]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
25,0.0.16.4,20,3,CCSpriteEyeCry_2,animal/doggy2.plist,doggy_eye_cry_03.png,"[2132, 96, 0]","[2132, 96]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
26,0.0.16.5,20,3,CCSpriteEyeCry_3,animal/doggy2.plist,doggy_eye_cry_04.png,"[2256, 210, 0]","[2256, 210]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,4:fail,4:fail,,
27,0.0.16.6,20,3,CCSpriteEyeGood_0,animal/doggy2.plist,doggy_eye_good_01.png,"[2210, -47, 0]","[2210, -47]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:perfect,5:perfect,,
28,0.0.16.7,20,3,CCSpriteEyeGood_1,animal/doggy2.plist,doggy_eye_goodeye_02.png,"[2197, 41, 0]","[2197, 41]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,5:perfect,5:perfect,,
29,0.0.16.8,20,3,CCSpriteEyeGoal,animal/doggy2.plist,doggy_eye_02.png,"[2237, 18, 0]","[2237, 18]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,8:map_enter,3:goal | 8:map_enter,,
30,0.0.16.9,20,3,CCSpriteEye,animal/doggy2.plist,doggy_eye_01.png,"[1219, 62, 0]","[1219, 62]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:start | 10:ready,1:idle | 2:start | 10:ready,2:start | 10:ready,
31,0.0.16.10,20,3,CCSpriteEyeMap_0,animal/doggy2.plist,doggy_eye_03.png,"[54, 70, 0]","[2168, 80]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,7:map_hello,7:map_hello,,
32,0.0.16.11,20,3,CCSpriteEyeMap_1,animal/doggy2.plist,doggy_eye_map_01.png,"[54, 70, 0]","[2274, 50]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,7:map_hello,7:map_hello,,
33,0.0.16.12,20,3,CCSpriteEyeMap_2,animal/doggy2.plist,doggy_eye_map_02.png,"[54, 70, 0]","[2207, 0]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,false,1,7:map_hello,7:map_hello,,
34,0.0.16.13,20,3,CCSpriteMouseMap,animal/doggy2.plist,doggy_mouse_map.png,"[46, 32, 0]","[2112, 32]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,true,1,7:map_hello,7:map_hello,,
35,0.0.16.14,20,3,CCSpriteMouse,animal/doggy2.plist,doggy_mouse_01.png,"[1793, 300, 0]","[1793, 300]","[0.5, 0.5]","[1, 1, false, 0]",,,false,false,,,,1:idle,,
36,0.0.16.15,20,3,CCSpriteMouseStart,animal/doggy2.plist,doggy_mouse_03.png,"[2171, -82, 0]","[2171, -82]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:start,2:start,2:start,
37,0.0.16.16,20,3,CCSpriteMouseSmile,animal/doggy2.plist,doggy_mouse_04.png,"[2302, 69, 0]","[2302, 69]","[0.5, 0.5]","[1, 1, false, 0]",0,0,false,false,true,1,2:start | 5:perfect | 8:map_enter | 10:ready,2:start | 5:perfect | 8:map_enter | 10:ready,2:start | 10:ready,
